date,length,positive_word_count,negative_word_count
2020-01-23,386,5,10
2020-01-27,1599,23,32
2020-01-28,1094,30,25
2020-01-29,675,7,18
2020-01-31,530,0,14
2020-02-01,1624,21,23
2020-02-05,814,10,12
2020-02-06,2160,10,37
2020-02-07,259,0,3
2020-02-08,1620,26,61
2020-02-12,2963,45,39
2020-02-13,4127,48,59
2020-02-14,3602,76,50
2020-02-15,6451,106,101
2020-02-17,1968,48,47
2020-02-18,2628,33,41
2020-02-19,803,3,10
2020-02-20,2759,46,47
2020-02-21,1538,35,32
2020-02-22,1899,29,31
2020-02-23,1018,18,22
2020-02-24,5284,60,87
2020-02-25,2884,63,44
2020-02-26,3417,53,45
2020-02-27,8222,105,165
2020-02-28,10475,131,202
2020-02-29,7624,119,146
2020-03-01,2368,24,57
2020-03-02,6786,115,106
2020-03-03,8417,161,149
2020-03-04,16231,271,298
2020-03-05,10742,167,184
2020-03-06,6239,93,82
2020-03-07,4058,52,64
2020-03-08,2075,49,40
2020-03-09,5066,104,80
2020-03-10,7066,129,116
2020-03-11,14711,235,224
2020-03-12,12066,180,184
2020-03-13,31733,562,489
2020-03-14,34475,602,513
2020-03-15,15008,261,188
2020-03-16,49026,779,641
2020-03-17,48700,783,681
2020-03-18,62204,1004,943
2020-03-19,55740,808,798
2020-03-20,38467,564,450
2020-03-21,32009,450,384
2020-03-22,26071,400,360
2020-03-23,53178,882,718
2020-03-24,50573,745,632
2020-03-25,39823,618,442
2020-03-26,64246,1095,917
2020-03-27,69381,1101,942
2020-03-28,47222,770,612
2020-03-29,22046,402,288
2020-03-30,56018,896,799
2020-03-31,60170,986,769
2020-04-01,67172,1083,791
2020-04-02,63209,1063,851
2020-04-03,36073,599,476
2020-04-04,41800,667,509
2020-04-05,17790,302,239
2020-04-06,61801,1060,853
2020-04-07,62726,1069,819
2020-04-08,62078,963,849
2020-04-09,67447,1074,847
2020-04-10,51557,796,654
2020-04-11,35368,636,448
2020-04-12,24505,423,412
2020-04-13,62980,981,882
2020-04-14,64232,940,729
2020-04-15,62982,1024,856
2020-04-16,61252,1040,706
2020-04-17,41239,656,520
2020-04-18,30806,466,326
2020-04-19,26381,430,348
2020-04-20,68307,1086,881
2020-04-21,54105,894,682
2020-04-22,62483,923,724
2020-04-23,52119,824,744
2020-04-24,52435,817,574
2020-04-25,30282,491,384
2020-04-26,24152,386,328
2020-04-27,61009,1059,724
2020-04-28,72283,1118,881
2020-04-29,55062,876,601
2020-04-30,3059,44,42
2020-05-01,7743,146,120
2020-05-02,27282,417,339
2020-05-03,23919,466,318
2020-05-04,70416,1205,917
2020-05-05,48141,787,578
2020-05-06,54292,850,635
2020-05-07,68420,1094,921
2020-05-08,44247,728,477
2020-05-09,31530,518,365
2020-05-10,21884,351,310
2020-05-11,62680,966,785
2020-05-12,61762,1010,682
2020-05-13,67506,1111,685
2020-05-14,51832,890,630
2020-05-15,43297,820,477
2020-05-16,35795,578,435
2020-05-17,29504,433,381
