date,length,positive_word_count,negative_word_count
2020-01-23,386,5,10
2020-01-27,1599,23,32
2020-01-28,1094,30,25
2020-01-29,675,7,18
2020-01-31,530,0,14
2020-02-01,1624,21,23
2020-02-05,814,10,12
2020-02-06,2160,10,37
2020-02-07,259,0,3
2020-02-08,1620,26,61
2020-02-12,1855,25,27
2020-02-13,700,7,11
2020-02-14,1596,30,23
2020-02-15,5374,74,89
2020-02-18,167,2,6
2020-02-19,803,3,10
2020-02-20,2759,46,47
2020-02-21,1538,35,32
2020-02-22,1899,29,31
2020-02-24,628,7,13
2020-02-25,1080,14,20
2020-02-26,1686,25,29
2020-02-27,3761,63,63
2020-02-28,6134,74,119
2020-02-29,6664,103,131
2020-03-02,3776,67,51
2020-03-03,4089,78,61
2020-03-04,2204,35,26
2020-03-05,4400,73,72
2020-03-06,2636,39,31
2020-03-07,3220,38,52
2020-03-09,3991,82,66
2020-03-10,3198,48,69
2020-03-11,4969,80,74
2020-03-12,7382,99,100
2020-03-13,19682,304,339
2020-03-14,23886,391,344
2020-03-16,19814,269,223
2020-03-17,21251,321,297
2020-03-18,29060,401,414
2020-03-19,28616,381,393
2020-03-20,29345,375,357
2020-03-21,24189,316,290
2020-03-23,25044,359,322
2020-03-24,21703,279,248
2020-03-25,32501,502,354
2020-03-26,29308,441,426
2020-03-27,38007,519,507
2020-03-28,30001,466,368
2020-03-30,27130,439,338
2020-03-31,25616,397,326
2020-04-01,35745,565,423
2020-04-02,31001,496,352
2020-04-03,32885,550,405
2020-04-04,28722,444,346
2020-04-06,32011,500,398
2020-04-07,31898,507,379
2020-04-08,31634,461,436
2020-04-09,28934,373,356
2020-04-10,45271,678,557
2020-04-11,28893,512,336
2020-04-13,34828,513,440
2020-04-14,28458,395,342
2020-04-15,27768,388,367
2020-04-16,31263,472,326
2020-04-17,31476,470,371
2020-04-18,26720,383,272
2020-04-20,31045,469,401
2020-04-21,26411,429,314
2020-04-22,34144,461,364
2020-04-23,22464,357,288
2020-04-24,35175,512,347
2020-04-25,25208,395,311
2020-04-27,29372,438,302
2020-04-28,33866,517,428
2020-04-29,27039,392,286
2020-05-02,19269,269,220
2020-05-04,28935,435,308
2020-05-05,26830,428,365
2020-05-06,30177,433,371
2020-05-07,30192,467,348
2020-05-08,32334,475,336
2020-05-09,23250,367,248
2020-05-11,29631,439,362
2020-05-12,26677,368,293
2020-05-13,33350,520,341
2020-05-14,23761,352,253
2020-05-15,36943,670,407
2020-05-16,30351,476,368
2020-05-18,23315,357,248
2020-05-19,22682,300,219
2020-05-20,24955,362,244
2020-05-21,25915,378,329
2020-05-22,41998,693,528
2020-05-23,26278,409,278
2020-05-26,28501,465,277
2020-05-27,26021,444,314
2020-05-28,28870,431,341
2020-05-29,26593,363,267
2020-05-30,22519,337,282
2020-06-01,25704,381,275
2020-06-02,28451,375,445
2020-06-03,18961,305,200
2020-06-04,22834,323,219
2020-06-05,30267,474,307
2020-06-06,18084,280,217
