date,length,positive_word_count,negative_word_count
2020-01-23,386,5,10
2020-01-27,1599,23,32
2020-01-28,1094,30,25
2020-01-29,675,7,18
2020-01-31,530,0,14
2020-02-01,1624,21,23
2020-02-04,281,12,11
2020-02-05,1111,23,23
2020-02-06,2160,10,37
2020-02-07,259,0,3
2020-02-08,1620,26,61
2020-02-12,2963,45,39
2020-02-13,4127,48,59
2020-02-14,3602,76,50
2020-02-15,6451,106,101
2020-02-17,1968,48,47
2020-02-18,3098,41,59
2020-02-19,803,3,10
2020-02-20,2759,46,47
2020-02-21,1538,35,32
2020-02-22,1899,29,31
2020-02-23,1018,18,22
2020-02-24,5284,60,87
2020-02-25,4811,87,74
2020-02-26,3417,53,45
2020-02-27,8222,105,165
2020-02-28,13333,184,261
2020-02-29,12402,230,277
2020-03-01,4886,83,124
2020-03-02,9154,143,146
2020-03-03,9280,182,160
2020-03-04,17540,285,312
2020-03-05,11198,181,194
2020-03-06,9613,181,125
2020-03-07,6775,100,119
2020-03-08,2809,60,45
2020-03-09,8522,206,144
2020-03-10,10434,192,187
2020-03-11,17768,306,292
2020-03-12,20060,358,363
2020-03-13,37370,676,638
2020-03-14,40873,729,638
2020-03-15,18404,323,268
2020-03-16,55757,941,756
2020-03-17,59298,980,909
2020-03-18,73158,1243,1199
2020-03-19,65649,1024,981
2020-03-20,46132,709,614
2020-03-21,32359,457,390
2020-03-22,32183,519,463
2020-03-23,62665,1096,881
2020-03-24,59899,919,825
2020-03-25,48681,810,628
2020-03-26,74806,1338,1107
2020-03-27,79958,1340,1127
2020-03-28,55368,962,806
2020-03-29,27705,553,383
2020-03-30,69412,1174,1010
2020-03-31,70302,1214,970
2020-04-01,81847,1415,1095
2020-04-02,74591,1319,1102
2020-04-03,46072,796,653
2020-04-04,49294,852,663
2020-04-05,23384,422,346
2020-04-06,69428,1238,995
2020-04-07,74143,1311,1032
2020-04-08,76626,1369,1140
2020-04-09,75956,1324,1012
2020-04-10,55865,870,747
2020-04-11,42174,797,644
2020-04-12,29825,520,519
2020-04-13,73474,1216,1071
2020-04-14,73620,1122,924
2020-04-15,69273,1141,1028
2020-04-16,72140,1270,910
2020-04-17,52982,912,753
2020-04-18,35697,561,434
2020-04-19,32857,574,478
2020-04-20,78755,1277,1105
2020-04-21,60645,1056,802
2020-04-22,73439,1146,950
2020-04-23,64841,1124,999
2020-04-24,63661,1072,741
2020-04-25,38838,734,523
2020-04-26,30173,532,437
2020-04-27,70579,1237,881
2020-04-28,81164,1290,1055
2020-04-29,68341,1147,870
2020-04-30,15842,324,270
2020-05-01,13064,226,213
2020-05-02,34282,543,481
2020-05-03,29534,609,445
2020-05-04,78373,1365,1042
2020-05-05,58258,961,771
2020-05-06,66824,1159,843
2020-05-07,79643,1383,1133
2020-05-08,52648,986,634
2020-05-09,35907,648,479
2020-05-10,27211,505,400
2020-05-11,73004,1167,989
2020-05-12,69392,1204,783
2020-05-13,75036,1316,868
2020-05-14,59807,1043,762
