date,length,positive_word_count,negative_word_count
2020-02-04,281,12,11
2020-02-05,297,13,11
2020-02-18,470,8,18
2020-02-25,1927,24,30
2020-02-28,2858,53,59
2020-02-29,4778,111,131
2020-03-01,2518,59,67
2020-03-02,2368,28,40
2020-03-03,863,21,11
2020-03-04,1309,14,14
2020-03-05,456,14,10
2020-03-06,3374,88,43
2020-03-07,2717,48,55
2020-03-08,734,11,5
2020-03-09,3456,102,64
2020-03-10,3368,63,71
2020-03-11,3057,71,68
2020-03-12,7994,178,179
2020-03-13,5637,114,149
2020-03-14,6398,127,125
2020-03-15,3396,62,80
2020-03-16,6731,162,115
2020-03-17,10598,197,228
2020-03-18,10954,239,256
2020-03-19,9909,216,183
2020-03-20,7665,145,164
2020-03-21,350,7,6
2020-03-22,6112,119,103
2020-03-23,9487,214,163
2020-03-24,9326,174,193
2020-03-25,8858,192,186
2020-03-26,10560,243,190
2020-03-27,10577,239,185
2020-03-28,8146,192,194
2020-03-29,5659,151,95
2020-03-30,13394,278,211
2020-03-31,10132,228,201
2020-04-01,14675,332,304
2020-04-02,11382,256,251
2020-04-03,9999,197,177
2020-04-04,7494,185,154
2020-04-05,5594,120,107
2020-04-06,7627,178,142
2020-04-07,11417,242,213
2020-04-08,14548,406,291
2020-04-09,8509,250,165
2020-04-10,4308,74,93
2020-04-11,6806,161,196
2020-04-12,5320,97,107
2020-04-13,10494,235,189
2020-04-14,9388,182,195
2020-04-15,6291,117,172
2020-04-16,10888,230,204
2020-04-17,11743,256,233
2020-04-18,4891,95,108
2020-04-19,6476,144,130
2020-04-20,10448,191,224
2020-04-21,6540,162,120
2020-04-22,10956,223,226
2020-04-23,12722,300,255
2020-04-24,11226,255,167
2020-04-25,8556,243,139
2020-04-26,6021,146,109
2020-04-27,9570,178,157
2020-04-28,8881,172,174
2020-04-29,13279,271,269
2020-04-30,12783,280,228
2020-05-01,5321,80,93
2020-05-02,7000,126,142
2020-05-03,5615,143,127
2020-05-04,7957,160,125
2020-05-05,10117,174,193
2020-05-06,12532,309,208
2020-05-07,11223,289,212
2020-05-08,8401,258,157
2020-05-09,4377,130,114
2020-05-10,5327,154,90
2020-05-11,10324,201,204
2020-05-12,7630,194,101
2020-05-13,7530,205,183
2020-05-14,7975,153,132
2020-05-15,11689,255,190
2020-05-16,5898,121,132
2020-05-17,3404,83,69
2020-05-18,10074,259,211
2020-05-19,8169,189,131
2020-05-20,10384,262,210
2020-05-21,11215,222,208
