date,title,section,body,subject,length,source,positive_word_count,negative_word_count,strong_word_count,weak_word_count
2022-11-15,Covid-19 reduces appetite for Oatly,FEATURES; Pg. 35,"The New York stock market's taste for Oatly subsided still further yesterday after the oat milk producer backed by celebrity investors including Oprah Winfrey and Jay-Z fell short of quarterly expectations and downgraded its sales guidance for the year.
Shares in the Sweden-based company dropped by 12.6 per cent, or 31 cents, to $2.14 after its latest update compounded unease on Wall Street. Its stock has declined by 74 per cent this year.
While emphasising its travails were ""transitory"", Oatly conceded that they were hampering its ability to expand. Revenue at the group rose by 7 per cent to $183 million in the three months to September 30, shy of the $212 million projected by analysts, according to
Refinitiv. Pre-tax losses almost tripled from $40.6 million to $111.9 million.
Toni Petersson, its chief executive, said: ""Third-quarter financial results were below our expectations, largely driven by Covid-19 restrictions in Asia, production challenges in the Americas and continued foreign exchange headwinds. However, we continue to see year-over-year sales volume growth and minimal price elasticity globally.""
Founded in 1994, Oatly turns fibrerich oats into an alternative to milk, yoghurt and ice cream. The group has a market value of $1.2 billion and is based in Malmo, Sweden.
Petersson, 54, promised ""more profitable growth"" after Oatly moved to cut costs and develop its supply chain, but a significant cut in its annual revenue forecast alarmed Wall Street. The group now expects sales of between $700 million and $720 million this year, growth of between 9 per cent and 12 per cent on 2021 but well short of previous forecasts of between $800 million and $830 million. The latest projection ""assumes reasonable containment"" of Covid-19 worldwide, Oatly said, with no big lockdowns in Asia for the rest of the year.","FINANCIAL RESULTS (90%); NONDAIRY MILK (90%); STOCK EXCHANGES (90%); COVID CORONAVIRUS (89%); COVID-19 CORONAVIRUS (89%); BUSINESS FORECASTS (78%); COVID-19 CORONAVIRUS REGULATION & POLICY (78%); LOWERED SALES PROJECTIONS (78%); SALES FIGURES (78%); COMPANY EARNINGS (77%); COMPANY LOSSES (77%); COMPANY PROFITS (77%); FINANCIAL PERFORMANCE & REPORTS (77%); EXECUTIVES (53%)

Industry: DAIRY FARMING (90%); NONDAIRY MILK (90%); STOCK EXCHANGES (90%); ICE CREAM (78%); LOWERED SALES PROJECTIONS (78%)

Person: JAY-Z (58%); OPRAH WINFREY (57%)",305.0,The Times (London),5,0,13,3
2022-11-15,Covid-19 reduces appetite for Oatly,FEATURES; Pg. 31,"One in eight people who were admitted to hospital with Covid-19 later suffered heart inflammation, according to research into the clinical long-term effects.
The largest study of its kind to date, led by the University of Glasgow in collaboration with NHS Greater Glasgow and Clyde (NHSGGC), followed 159 patients for a year.
During a period of 450 days after discharge, one in seven patients died or were readmitted to hospital, and two in three patients required NHS outpatient care.
Patients who went to hospital were found to have suffered long-term health problems including inflammation across the body and damage to the other organs such as the kidneys.
Professor Colin Berry, lead investigator of the Cisco study and professor of cardiology and imaging at the University of Glasgow, described Covid-19 as a ""multi-system disease"" and said the study showed that it caused ""injury on the heart, lungs and kidneys"".
""These results bridge a vital knowledge gap between our current understanding of post Covid-19 syndromes, such as long Covid, and objective evidence of ongoing disease,"" he said.
""One of the most important findings of the Cisco study is that it is the severity of a patient's Covid-19 infection, not their underlying health conditions, that is most closely correlated with the severity of any ongoing health outcomes post discharge.
""We found that previously healthy patients, without any underlying health conditions, were suffering with severe health outcomes, including myocarditis, post hospitalisation.
""The reasons for this are unclear, but it may be that a healthy person who is hospitalised with Covid-19 is likely to have a worse Covid infection than someone with underlying health conditions who is hospitalised. More work needs to be done here to understand the risks, and also on how we can better support patients who have ongoing health outcomes after being hospitalised with Covid-19.""
Long Covid has been found to predominantly affect women. The study found that being female was associated with myocarditis, which in turn was linked with lower mental and physical wellbeing.
Researchers believe these findings provide some answers that could explain the physical limitations experienced by some women after being in hospital with Covid-19.
Professor Julie Brittenden, director of research and innovation at NHSGGC, said: ""[We are] pleased to have played an important role in this study. I would like to thank all of our patients who have taken part, as well as the wider research teams.""
Professor David Crossman, chief scientist (health) for Scotland at the time the study was funded, said: ""This study provides important insight into the longer-term effects of Covid-19 infection, and will help inform approaches to treatment going forward.""
The research focused on patients admitted to hospital with Covid-19; however, other studies looking at community Covid infections - those not severe enough to result in hospitalisation - have reported more encouraging data on long-term health recovery. Patients in this study enrolled during the first and second waves of the pandemic, until March 2021, and as a result they were mainly unvaccinated.
Among the patients enrolled in the study, risk factors for heart disease were common, including being overweight or obese, or having high blood pressure, pre-diabetes or diabetes.
The study, a multisystem, cardio-renal investigation of post-Covid illness, is published in Nature Medicine.","COVID CORONAVIRUS (94%); COVID-19 CORONAVIRUS (94%); CARDIOLOGY (90%); DISEASES & DISORDERS (90%); INFECTIOUS DISEASE (90%); INFLAMMATORY DISEASES (90%); INVESTIGATIONS (90%); MEDICINE & HEALTH (90%); RESEARCH REPORTS (90%); CARDIOVASCULAR DISEASE (89%); COLLEGE & UNIVERSITY PROFESSORS (89%); HEART DISEASE (89%); LEVELS OF CARE (78%); RESEARCH & DEVELOPMENT (78%); WOUNDS & INJURIES (78%); CHRONIC DISEASES (73%); MENTAL HEALTH (60%)

Industry: CARDIOLOGY (90%); COLLEGE & UNIVERSITY PROFESSORS (89%); CLINICS & OUTPATIENT SERVICES (73%)",576.0,The Times (London),16,14,23,2
2022-05-24,"Severe Covid-19 can inflame the heart, study finds",NEWS; Pg. 24,"Tottenham Hotspur fear an outbreak of Covid-19 at the club less than two days before the first leg of their Carabao Cup semi-final against Chelsea.
The club suspect that two players have the virus and worry there could be further cases when they test today. Tottenham had an outbreak only a month ago, when eight players and nine members of staff tested positive, leading to them not playing two League games and their final Europa Conference
League group match, against Rennes. Antonio Conte said that the uncertainty was a concern in his preparation for tomorrow's match, which will mark the first time he has returned to Stamford Bridge since being dismissed as Chelsea head coach in 2018.
""We are checking a couple of situations about Covid,"" the Tottenham head coach said. ""We have to check and also during the day, if there are new positives or not. Then tomorrow we'll see which players are available to play against Chelsea."" Conte's Chelsea side beat
Tottenham 4-2 in the FA Cup semifinals in 2017 and he is aware of the importance of his present club lifting a first trophy since winning the League Cup in 2008.
""It's always very important to win trophies,"" Conte said. ""At this moment Chelsea is more ready than us to win.""
The Spurs outbreak comes as the Premier League revealed that there had been 94 positive Covid-19 tests from 14,250 players and club staff last week, the first week-on-week decrease in positive results for eight weeks.","COVID CORONAVIRUS (93%); COVID-19 CORONAVIRUS (91%); INFECTIOUS DISEASE (90%); PROFESSIONAL SPORTS (90%); SOCCER TOURNAMENTS (90%); COACHES & TRAINERS (79%); SPORTS & RECREATION (79%); SPORTS & RECREATION EVENTS (79%); SPORTS AWARDS (79%)

Organization:  EUROPEAN UNION (56%)",241.0,The Times (London),8,6,2,1
2022-01-04,Spurs fear another Covid-19 outbreak,SPORT; Pg. 52,"Tottenham Hotspur fear an outbreak of Covid-19 at the club less than two days before the first leg of their Carabao Cup semi-final against Chelsea.
The club suspect that two players have the virus and worry there could be further cases when they test today. Tottenham had an outbreak only a month ago, when eight players and nine members of staff tested positive, leading to them not playing two League games and their final Europa Conference
League group match, against Rennes. Antonio Conte said that the uncertainty was a concern in his preparation for tomorrow's match, which will mark the first time he has returned to Stamford Bridge since being dismissed as Chelsea head coach in 2018.
""We are checking a couple of situations about Covid,"" the Tottenham head coach said. ""We have to check and also during the day, if there are new positives or not. Then tomorrow we'll see which players are available to play against Chelsea."" Conte's Chelsea side beat
Tottenham 4-2 in the FA Cup semifinals in 2017 and he is aware of the importance of his present club lifting a first trophy since winning the League Cup in 2008.
""It's always very important to win trophies,"" Conte said. ""At this moment Chelsea is more ready than us to win.""
The Spurs outbreak comes as the Premier League revealed that there had been 94 positive Covid-19 tests from 14,250 players and club staff last week, the first week-on-week decrease in positive results for eight weeks.","COVID CORONAVIRUS (93%); COVID-19 CORONAVIRUS (91%); INFECTIOUS DISEASE (90%); PROFESSIONAL SPORTS (90%); SOCCER TOURNAMENTS (90%); COACHES & TRAINERS (79%); SPORTS & RECREATION (79%); SPORTS & RECREATION EVENTS (79%); SPORTS AWARDS (79%)

Organization:  EUROPEAN UNION (56%)",241.0,The Times (London),8,6,2,1
2022-01-04,Spurs fear another Covid-19 outbreak,SPORT; Pg. 48,"Sir, Sir David Nabarro of the World Health Organisation has described the efforts to control the pandemic as a war and the arrival of rapid screening tests for Covid-19 as critical to identifying the whereabouts of the virus in the population for contact tracing and testing. The NHS Track and Trace scheme has been poorly planned and executed in England and Wales, and has failed to respond at scale to predictable rising demand. We cannot afford for these errors to be repeated in any ""moonshot"".
The successful UK breast screening programme provides some of the key elements for symptomatic and asymptomatic screening for Covid-19. It was initiated and medically led by a distinguished and experienced clinician, Sir Patrick Forrest. It had a defined infrastructure and set rigorous standards of training and quality assurance for surgeons, radiologists, pathologists and diagnostic radiographers with a continuous process of review of performance shared with the breast cancer professionals and patients.
A national screening programme for Covid-19 led by a public health medicine specialist should embed all the equivalent elements, informed by the evolving scientific evidence base and the government's Scientific Advisory Group for Emergencies. Professor Ian Kunkler Consultant in clinical oncology, Edinburgh Cancer Centre Sir, The global death toll from Covid-19 has reached one million, according to data from Johns Hopkins University. Perhaps we should reflect that about nine million people die each year of hunger and hungerrelated diseases. Covid-19 is serious but we will have to learn to live with it as present policies are not working. Meanwhile people who are dying from malnutrition need food, not vaccines.
Marion Sweeney Chigwell, Essex Sir, With regard to the closure of pubs at 10pm and crowds congregating outside, perhaps some pubs could consider closing the bar at 9pm and their pub doors at 10pm; others at 10pm and 11pm. This would allow a staggered exit (no pun intended) and smaller crowds outside. Some would leave when the bar shut and the keen drinkers would perhaps have a round to drink up before leaving.
Niall McTeague Giffnock, Glasgow","COVID CORONAVIRUS (94%); COVID-19 CORONAVIRUS (93%); CANCER (90%); COMMUNICABLE DISEASE CONTROL (90%); DEATH & DYING (90%); EPIDEMICS (90%); INFECTIOUS DISEASE (90%); MEDICAL DIAGNOSTICS, SCREENING & TESTING (90%); PANDEMICS (90%); PHYSICIANS & SURGEONS (90%); PUBLIC HEALTH (90%); PUBLIC HEALTH ADMINISTRATION (90%); ASSOCIATIONS & ORGANIZATIONS (78%); BREAST CANCER SCREENING (78%); DISEASE CONTACT TRACING (78%); DISEASES & DISORDERS (78%); HEALTH CARE PROFESSIONALS (78%); HEALTH DEPARTMENTS (78%); MALNUTRITION (78%); MEDICINE & HEALTH (78%); PATHOLOGY (78%); QUALITY CONTROL (78%); RADIOLOGY (78%); SCIENCE POLICY (78%); DEATH RATES (77%); BREAST CANCER (76%); ONCOLOGY (74%); VACCINES (73%); COLLEGE & UNIVERSITY PROFESSORS (66%); COLLEGES & UNIVERSITIES (66%); SCIENCE & TECHNOLOGY (66%)

Organization: WORLD HEALTH ORGANIZATION (84%); JOHNS HOPKINS UNIVERSITY (53%)

Industry: PHYSICIANS & SURGEONS (90%); DRINKING PLACES (88%); HEALTH CARE PROFESSIONALS (78%); HEALTH DEPARTMENTS (78%); PATHOLOGY (78%); RADIOLOGY (78%); ONCOLOGY (74%); VACCINES (73%); COLLEGE & UNIVERSITY PROFESSORS (66%); COLLEGES & UNIVERSITIES (66%)",361.0,The Times (London),7,7,7,1
2020-09-30,Screening strategy for Covid-19,NEWS; Pg. 20,"Hundreds of thousands of the most at-risk patients are set to receive an antiviral pill to treat Covid this winter after Britain became the first country to approve the treatment.
The oral drug molnupiravir has been shown to cut the chances of needing admission to hospital in the most vulnerable patients by half, as long as it is given soon after symptoms appear.
Britain has bought 480,000 courses of the treatment, which can be taken at home, in a deal that was announced after it had passed its final stage of trials.
Now that it has been approved by the MHRA, the medical regulator, it is expected to be given to those at risk of severe Covid when they test positive. First deliveries are anticipated this month, with all the ordered doses expected to arrive over the winter.
Sajid Javid, the health secretary, said that the drug could reduce deaths from the disease. ""Today is a historic day for our country, as the UK is now the first country in the world to approve an antiviral that can be taken at home for Covid-19,"" he said. ""This will be a gamechanger for the most vulnerable and the immunosuppressed, who will soon be able to receive the groundbreaking treatment.""
The NHS has yet to explain how the drug will be distributed, with public health experts predicting that the logistics of its delivery will be one of the most crucial elements in ensuring its success.
It is expected that the elderly, the immunocompromised and those with known comorbidities will have priority. If given to everyone who tested positive, Britain's stock would last less than a fortnight. Instead, the patient groups who will benefit the most need to be identified and treated rapidly. Initial deployment will take place as part of a large trial, to find the most effective way of using the drug ? which was not tested in a vaccinated population. Depending on the findings, more doses could be ordered.
""We are working at pace across the government and with the NHS to set   Antiviral pill for Covid-19 out plans to deploy molnupiravir to patients through a national study as soon as possible,"" Javid said.
""This antiviral will be an excellent addition to our armoury against Covid-19, and it remains vital everyone comes forward for their life-saving Covid-19 vaccine ? particularly those eligible for a booster ? to ensure as many people as possible are protected over the coming months.""
June Raine, chief executive of the MHRA, said the fact that the drug could be taken as a pill was a big part of its attraction. ""It means it can be administered outside of a hospital setting, before Covid-19 has progressed to a severe stage,"" she said.
It has not been revealed how much Britain has paid for the drug, which is designed to interfere with the coronavirus life cycle. The US, which has bought 1.7 million courses before approval, is understood to have paid £500 per course.
The drug is made by Merck, known as MSD in Britain, and Ridgeback Biotherapeutics. Wendy Holman, chief executive of Ridgeback, said that speed was of the essence in making it. ""We believed each day saved could save lives and limit severe disease and the global hardships of this pandemic,"" she said. Costly PCR tests no longer needed, says leading scientist, page 20 Jabs for children, letters, page 26","COVID CORONAVIRUS (92%); APPROVALS (91%); COVID-19 CORONAVIRUS (90%); INFECTIOUS DISEASE (90%); VACCINES (89%); DISEASE IMMUNITY (78%); PUBLIC HEALTH (78%); VULNERABLE ADULTS (78%); DISEASES & DISORDERS (77%); HEALTH CARE POLICY (77%); VULNERABLE HEALTH POPULATIONS (77%); HEALTH DEPARTMENTS (73%); SENIOR CITIZENS (72%); DEATH RATES (68%); GOVERNMENT ADVISORS & MINISTERS (68%); PUBLIC HEALTH ADMINISTRATION (66%); EXECUTIVES (60%)

Industry: VACCINES (89%); HOSPITALS (78%); HEALTH CARE POLICY (77%); HEALTH DEPARTMENTS (73%)",543.0,The Times (London),14,8,27,3
2021-11-05,Britain first to approve antiviral pill for Covid-19,"NEWS; FRONT PAGE; Pg. 1,2","Sir, Sir David Nabarro of the World Health Organisation has described the efforts to control the pandemic as a war and the arrival of rapid screening tests for Covid-19 as critical to identifying the whereabouts of the virus in the population for contact tracing and testing. The NHS Track and Trace scheme has been poorly planned and executed in England and Wales, and has failed to respond at scale to predictable rising demand. We cannot afford for these errors to be repeated in any ""moonshot"".
The successful UK breast screening programme provides some of the key elements for symptomatic and asymptomatic screening for Covid-19. It was initiated and medically led by a distinguished and experienced clinician, Sir Patrick Forrest. It had a defined infrastructure and set rigorous standards of training and quality assurance for surgeons, radiologists, pathologists and diagnostic radiographers with a continuous process of review of performance shared with the breast cancer professionals and patients.
A national screening programme for Covid-19 led by a public health medicine specialist should embed all the equivalent elements, informed by the evolving scientific evidence base and the government's Scientific Advisory Group for Emergencies. Professor Ian Kunkler Consultant in clinical oncology, Edinburgh Cancer Centre Sir, The global death toll from Covid-19 has reached one million, according to data from Johns Hopkins University. Perhaps we should reflect that about nine million people die each year of hunger and hungerrelated diseases. Covid-19 is serious but we will have to learn to live with it as present policies are not working. Meanwhile people who are dying from malnutrition need food, not vaccines.
Marion Sweeney Chigwell, Essex Sir, With regard to the closure of pubs at 10pm and crowds congregating outside, perhaps some pubs could consider closing the bar at 9pm and their pub doors at 10pm; others at 10pm and 11pm. This would allow a staggered exit (no pun intended) and smaller crowds outside. Some would leave when the bar shut and the keen drinkers would perhaps have a round to drink up before leaving.
Niall McTeague Giffnock, Glasgow","COVID CORONAVIRUS (94%); COVID-19 CORONAVIRUS (93%); CANCER (90%); COMMUNICABLE DISEASE CONTROL (90%); DEATH & DYING (90%); EPIDEMICS (90%); INFECTIOUS DISEASE (90%); MEDICAL DIAGNOSTICS, SCREENING & TESTING (90%); PANDEMICS (90%); PHYSICIANS & SURGEONS (90%); PUBLIC HEALTH (90%); PUBLIC HEALTH ADMINISTRATION (90%); ASSOCIATIONS & ORGANIZATIONS (78%); BREAST CANCER SCREENING (78%); DISEASE CONTACT TRACING (78%); DISEASES & DISORDERS (78%); HEALTH CARE PROFESSIONALS (78%); HEALTH DEPARTMENTS (78%); MALNUTRITION (78%); MEDICINE & HEALTH (78%); PATHOLOGY (78%); QUALITY CONTROL (78%); RADIOLOGY (78%); SCIENCE POLICY (78%); DEATH RATES (77%); BREAST CANCER (76%); ONCOLOGY (74%); VACCINES (73%); COLLEGE & UNIVERSITY PROFESSORS (66%); COLLEGES & UNIVERSITIES (66%); SCIENCE & TECHNOLOGY (66%)

Organization: WORLD HEALTH ORGANIZATION (84%); JOHNS HOPKINS UNIVERSITY (53%)

Industry: PHYSICIANS & SURGEONS (90%); DRINKING PLACES (88%); HEALTH CARE PROFESSIONALS (78%); HEALTH DEPARTMENTS (78%); PATHOLOGY (78%); RADIOLOGY (78%); ONCOLOGY (74%); VACCINES (73%); COLLEGE & UNIVERSITY PROFESSORS (66%); COLLEGES & UNIVERSITIES (66%)",361.0,The Times (London),7,7,7,1
2020-09-30,Screening strategy for Covid-19,NEWS; Pg. 30,"Hundreds of thousands of the most at-risk patients are set to receive an antiviral pill to treat Covid this winter after Britain became the first country to approve the treatment.
The oral drug molnupiravir has been shown to cut the chances of needing admission to hospital in the most vulnerable patients by half, as long as it is given soon after symptoms appear.
Britain has bought 480,000 courses of the treatment, which can be taken at home, in a deal that was announced after it had passed its final stage of trials.
Now that it has been approved by the MHRA, the medical regulator, it is expected to be given to those at risk of severe Covid when they test positive. First deliveries are anticipated this month, with all the ordered doses expected to arrive over the winter.
Sajid Javid, the health secretary, said that the drug could reduce deaths from the disease. ""Today is a historic day for our country, as the UK is now the first country in the world to approve an antiviral that can be taken at home for Covid-19,"" he said. ""This will be a gamechanger for the most vulnerable and the immunosuppressed, who will soon be able to receive the groundbreaking treatment.""
The NHS has yet to explain how the drug will be distributed, with public health experts predicting that the logistics of its delivery will be one of the most crucial elements in ensuring its success.
It is expected that the elderly, the immunocompromised and those with known comorbidities will have priority. If given to everyone who tested positive, Britain's stock would last less than a fortnight. Instead, the patient groups who will benefit the most need to be identified and treated rapidly. Initial deployment will take place as part of a large trial, to find the most effective way of using the drug - which was not tested in a vaccinated population. Depending on the findings, more doses could be ordered.
""We are working at pace across the government and with the NHS to set Continued on page 4, col 3 continued from page 1 Antiviral pill for Covid-19 out plans to deploy molnupiravir to patients through a national study as soon as possible,"" Javid said.
""This antiviral will be an excellent addition to our armoury against Covid-19, and it remains vital everyone comes forward for their life-saving Covid-19 vaccine - particularly those eligible for a booster - to ensure as many people as possible are protected over the coming months.""
June Raine, chief executive of the MHRA, said the fact that the drug could be taken as a pill was a big part of its attraction. ""It means it can be administered outside of a hospital setting, before Covid-19 has progressed to a severe stage,"" she said.
It has not been revealed how much Britain has paid for the drug, which is designed to interfere with the coronavirus life cycle. The US, which has bought 1.7 million courses before approval, is understood to have paid £500 per course.
The drug is made by Merck, known as MSD in Britain, and Ridgeback Biotherapeutics. Wendy Holman, chief executive of Ridgeback, said that speed was of the essence in making it. ""We believed each day saved could save lives and limit severe disease and the global hardships of this pandemic,"" she said. Costly PCR tests no longer needed, says leading scientist, page 22 Jabs for children, letters, page 32","COVID CORONAVIRUS (92%); APPROVALS (91%); COVID-19 CORONAVIRUS (90%); INFECTIOUS DISEASE (90%); VACCINES (89%); DISEASE IMMUNITY (78%); PUBLIC HEALTH (78%); VULNERABLE ADULTS (78%); DISEASES & DISORDERS (77%); HEALTH CARE POLICY (77%); VULNERABLE HEALTH POPULATIONS (77%); HEALTH DEPARTMENTS (73%); SENIOR CITIZENS (72%); DEATH RATES (68%); GOVERNMENT ADVISORS & MINISTERS (68%); PUBLIC HEALTH ADMINISTRATION (66%); EXECUTIVES (60%)

Industry: VACCINES (89%); HOSPITALS (78%); HEALTH CARE POLICY (77%); HEALTH DEPARTMENTS (73%)",551.0,The Times (London),14,8,27,3
2021-11-05,Britain first to approve antiviral pill for Covid-19,"NEWS; FRONT PAGE; Pg. 1,4","china
An elderly tour group that travelled across China to see the Terracotta Army in Xian are suspected of being behind the country's latest outbreak of coronavirus. China reported 25 cases including nine new domestically transmitted infections on October 18, the highest daily tally since the end of September. Five of the nine new local cases were found in the northwestern city of Xian, and two were in the northern Chinese region of Inner Mongolia, official data showed. A group of seven retirees, who set off from Shanghai in early October for a tour of the northwest, went into isolation after they were all infected. netherlands
New infections jumped 44 per cent in the week to Tuesday, forcing several hospitals to cut back on regular care to deal with a rising number of cases. Infections reached their highest level since the end of July, at 25,751, official data showed, rising for the third consecutive week following the easing of many social distancing measures last month. There were 48 deaths from Covid-19, twice as many as in the previous week. ""Most of those in hospital with Covid-19 have not been vaccinated,"" the Dutch National Institute for Public Health said. italy
An Italian senator was suspended for ten days after entering the Senate building in Rome without a coronavirus ""green pass"", which is now mandatory in all workplaces. Laura Granato, 51, a former member of the once anti-establishment Five Star Movement, who joined a breakaway group, was allowed into the Senate but later reported for refusing to show her green pass. It offers proof of a vaccination, negative test or recent recovery from Covid. She had been due to attend a parliamentary meeting on the pass, which she condemned to reporters as a ""certificate of obedience"". latvia
Latvia will enter into a nearly monthlong lockdown, including a curfew between 8pm and 5am, on Thursday due to the worsening coronavirus situation in the Baltic country where the vaccination rate is among the lowest in the EU. Krisjanis Karins, the prime minister, said the lockdown, from October 21 to November 15, was needed because the pandemic had continued to spread quickly. Latvia's Centre for Disease Prevention and Control said the country's Covid-19 incidence rate per 100,000 population now stands at 864, currently among the highest in the world.
World update  Deaths per million population  Global cases 241,132,266  Global deaths 4,905,094  Rank Now Jan 31  Peru Bosnia & Herz.  Most new cases 123456  US UK Russia Turkey India Iran  16,553 43,738 33,434 29,240 13,058 11,844  123456789 10 11 12 13 14 15 16 17 18 19 2021  6,062 3,414 3,343 3,236 3,147 2,853 2,839 2,560 2,494 2,384 2,354 2,275 2,232 2,224 2,206 2,193 2,185 2,176 2,170 2,124 2,045  1,234 1,431 1,367 1,299 1,296 1,523 1,048 1,057 1,047 797 836 378 1,836 1,833 1,214 1,309 939 1,460 1,225 565 1,555  (16) (7) (10) (13) (14) (5) (24) (23) (25) (40) (37) (68) (2) (3) (18) (11) (31) (6) (17) (51) (4)  N. Macedonia Bulgaria Hungary Czech Rep. Brazil Argentina Colombia Georgia Slovakia Paraguay Slovenia Belgium Mexico US Romania Italy Croatia Tunisia UK  Countries reporting most deaths  123456789 10  US Brazil India Mexico Russia Peru Indonesia UK Italy Colombia  725,835 603,465 452,454 284,477 220,323 199,882 142,999 138,852 131,585 126,886  Data supplied by Johns Hopkins University.  US data fluctuates because of irregular reporting by different states. Figures as of 6pm yesterday.  Sources: UK government, Our World in Data, selected countries","COVID-19 CORONAVIRUS (93%); COVID CORONAVIRUS (91%); CORONAVIRUSES (90%); INFECTIOUS DISEASE (90%); PUBLIC HEALTH (90%); VACCINES (90%); VIRUSES (90%); DEATH RATES (89%); EPIDEMIOLOGY (89%); LEGISLATIVE BODIES (89%); VACCINATION & IMMUNIZATION (89%); VACCINE CERTIFICATIONS & PASSPORTS (89%); HEADS OF STATE & GOVERNMENT (79%); COVID-19 CORONAVIRUS REGULATION & POLICY (78%); DISEASES & DISORDERS (78%); EPIDEMICS (78%); NEGATIVE PERSONAL NEWS (78%); PANDEMICS (78%); POPULATION SIZE (78%); PUBLIC HEALTH ADMINISTRATION (78%); RETIREMENT & RETIREES (78%); SOCIAL DISTANCING (78%); MORBIDITY RATES (77%); PREVENTION & WELLNESS (77%); DEATH & DYING (75%); EUROPEAN UNION (74%); POPULATION & DEMOGRAPHICS (74%); TALKS & MEETINGS (73%); PRIME MINISTERS (62%)

Industry: VACCINES (90%); EPIDEMIOLOGY (89%); VACCINATION & IMMUNIZATION (89%); VACCINE CERTIFICATIONS & PASSPORTS (89%); MORBIDITY RATES (77%)

Person: KRISJANIS KARINS (73%)",583.0,The Times (London),3,4,12,1
2021-10-20,Terracotta tour group causes Covid-19 cracks,NEWS; Pg. 17,"china
An elderly tour group that travelled across China to see the Terracotta Army in Xian are suspected of being behind the country's latest outbreak of coronavirus. China reported 25 cases including nine new domestically transmitted infections on October 18, the highest daily tally since the end of September. Five of the nine new local cases were found in the northwestern city of Xian, and two were in the northern Chinese region of Inner Mongolia, official data showed. A group of seven retirees, who set off from Shanghai in early October for a tour of the northwest, went into isolation after they were all infected. netherlands
New infections jumped 44 per cent in the week to Tuesday, forcing several hospitals to cut back on regular care to deal with a rising number of cases. Infections reached their highest level since the end of July, at 25,751, official data showed, rising for the third consecutive week following the easing of many social distancing measures last month. There were 48 deaths from Covid-19, twice as many as in the previous week. ""Most of those in hospital with Covid-19 have not been vaccinated,"" the Dutch National Institute for Public Health said. italy
An Italian senator was suspended for ten days after entering the Senate building in Rome without a coronavirus ""green pass"", which is now mandatory in all workplaces. Laura Granato, 51, a former member of the once anti-establishment Five Star Movement, who joined a breakaway group, was allowed into the Senate but later reported for refusing to show her green pass. It offers proof of a vaccination, negative test or recent recovery from Covid. She had been due to attend a parliamentary meeting on the pass, which she condemned to reporters as a ""certificate of obedience"". latvia
Latvia will enter into a nearly monthlong lockdown, including a curfew between 8pm and 5am, on Thursday due to the worsening coronavirus situation in the Baltic country where the vaccination rate is among the lowest in the EU. Krisjanis Karins, the prime minister, said the lockdown, from October 21 to November 15, was needed because the pandemic had continued to spread quickly. Latvia's Centre for Disease Prevention and Control said the country's Covid-19 incidence rate per 100,000 population now stands at 864, currently among the highest in the world.
World update  Deaths per million population  Global cases 241,132,266  Global deaths 4,905,094  Rank Now Jan 31  Peru Bosnia & Herz.  Most new cases 123456  US UK Russia Turkey India Iran  16,553 43,738 33,434 29,240 13,058 11,844  123456789 10 11 12 13 14 15 16 17 18 19 2021  6,062 3,414 3,343 3,236 3,147 2,853 2,839 2,560 2,494 2,384 2,354 2,275 2,232 2,224 2,206 2,193 2,185 2,176 2,170 2,124 2,045  1,234 1,431 1,367 1,299 1,296 1,523 1,048 1,057 1,047 797 836 378 1,836 1,833 1,214 1,309 939 1,460 1,225 565 1,555  (16) (7) (10) (13) (14) (5) (24) (23) (25) (40) (37) (68) (2) (3) (18) (11) (31) (6) (17) (51) (4)  N. Macedonia Bulgaria Hungary Czech Rep. Brazil Argentina Colombia Georgia Slovakia Paraguay Slovenia Belgium Mexico US Romania Italy Croatia Tunisia UK  Countries reporting most deaths  123456789 10  US Brazil India Mexico Russia Peru Indonesia UK Italy Colombia  725,835 603,465 452,454 284,477 220,323 199,882 142,999 138,852 131,585 126,886  Data supplied by Johns Hopkins University.  US data fluctuates because of irregular reporting by different states. Figures as of 6pm yesterday.  Sources: UK government, Our World in Data, selected countries","COVID-19 CORONAVIRUS (93%); COVID CORONAVIRUS (91%); CORONAVIRUSES (90%); INFECTIOUS DISEASE (90%); PUBLIC HEALTH (90%); VACCINES (90%); VIRUSES (90%); DEATH RATES (89%); EPIDEMIOLOGY (89%); LEGISLATIVE BODIES (89%); VACCINATION & IMMUNIZATION (89%); VACCINE CERTIFICATIONS & PASSPORTS (89%); COVID-19 CORONAVIRUS REGULATION & POLICY (78%); DISEASES & DISORDERS (78%); EPIDEMICS (78%); NEGATIVE PERSONAL NEWS (78%); PANDEMICS (78%); POPULATION SIZE (78%); PUBLIC HEALTH ADMINISTRATION (78%); RETIREMENT & RETIREES (78%); SOCIAL DISTANCING (78%); MORBIDITY RATES (77%); PREVENTION & WELLNESS (77%); DEATH & DYING (75%); EUROPEAN UNION (74%); POPULATION & DEMOGRAPHICS (74%); TALKS & MEETINGS (73%); HEADS OF STATE & GOVERNMENT (71%); PRIME MINISTERS (62%)

Industry: VACCINES (90%); EPIDEMIOLOGY (89%); VACCINATION & IMMUNIZATION (89%); VACCINE CERTIFICATIONS & PASSPORTS (89%); MORBIDITY RATES (77%)

Person: KRISJANIS KARINS (73%)",583.0,The Times (London),3,4,12,1
