date,title,source,length,body,subject
2021-12-26,US to blame for global spread of COVID-19: China Daily editorial,China Daily,454,"chinadaily.com.cn | Updated: 2021-03-08 19:59

A staff member shows CoronaVac vaccine vials at Sinovac Life Sciences in Beijing. [Photo by Chen Xiaogen/for China Daily]
Chinese State Councilor and Foreign Minister Wang Yi reiterated Beijing's opposition to ""vaccine nationalism"", and its commitment to making its COVID-19 vaccines a global public good in his afternoon news conference on Sunday.
He called on ""all capable countries"" to ""try their best to provide vaccines for those in need, make them affordable, accessible to people of all countries"", and turn them into true ""people's vaccines"".
China, on its part, has provided and is providing vaccine aid free of charge to 69 developing countries in urgent need, while also exporting vaccines to 43 countries.
Wang's call for vaccine cooperation was general and in principle with no mention of specific partners. But besides China, the United States stands out among all other countries as being capable of producing and providing COVID-19 vaccines. Despite the differences between them, China and the US have every reason to work together and demonstrate leadership when the world needs it the most.
In spite of the Joe Biden administration's Interim National Security Guidance singling out China as the greatest potential threat to US national interests, the administration has simultaneously underlined the need and its willingness to collaborate with China on issues of mutual interest, which should include addressing the common public health threat.
COVID-19 is a clear and present danger to both countries and the broader international community. The urgency of the matter makes it a natural starting point for China and the US to reengage.
A recent paper co-authored and submitted to the 2021 Hong Kong Forum on US-China Relations by the director and associate director of Brookings' John L. Thornton China Center, on March 2, offered ""Ten Reasons the US and China Should Cooperate Now to Stop the Pandemic"".
The paper argued that cooperation between the world's largest developing and developed nations will boost global synergy, data sharing, vaccine research and development, and equitable vaccine distribution, and facilitate the making of safety rules for international travel.
It also pointed out a significant additional benefit of bilateral cooperation — creating a constructive atmosphere for China-US collaboration in other areas such as climate change.
The two sides' mutual perceptions have changed drastically over the past few years, and they are keenly aware of the competitive aspect of their relationship, but both are equally conscious of the undesirable outcomes if they categorically rule out cooperation. They now need to demonstrate reason and pragmatism.",VACCINES (95%); COVID CORONAVIRUS (90%); COVID-19 CORONAVIRUS (90%); INFECTIOUS DISEASE (90%); INTERNATIONAL RELATIONS (90%); INTERNATIONAL RELATIONS & NATIONAL SECURITY (90%); DEVELOPING COUNTRIES (79%); EMERGING MARKETS (79%); ANTI-VACCINE MOVEMENT (78%); CLIMATOLOGY (78%); MEDICAL RESEARCH (78%); PANDEMICS (78%); POLITICAL & SOCIAL IDEOLOGIES (78%); PUBLIC HEALTH ADMINISTRATION (78%); RESEARCH & DEVELOPMENT (78%); TALKS & MEETINGS (78%); SAFETY (77%); STATE DEPARTMENTS & FOREIGN SERVICES (77%); PRESS CONFERENCES (73%); GOVERNMENT ADVISORS & MINISTERS (72%); NATIONAL SECURITY (72%); SAFETY REGULATION & POLICY (70%); PUBLIC HEALTH (67%); CLIMATE CHANGE (63%)
2021-03-08,Sino- US cooperation on COVID-19 critical: China Daily editorial,China Daily,504,"By XIE CHUANJIAO in Qingdao, Shandong | CHINA DAILY | Updated: 2021-09-03 09:18

Aerial photo taken on July 14, 2020 shows a fish boat sailing in an abalone breeding area in Lianjiang county of East China's Fujian province. [Photo/Xinhua]
China's marine economy is accelerating the pace of its recovery and is expected to embrace high-quality development thanks to effective measures to prevent and control the COVID-19 pandemic, a blue book said recently.
The economic importance of China's marine sectors will continue to grow this year and through to the end of the 14th Five-Year Plan (2021-25) period, with domestic consumption booming and the international market increasingly dependent on Chinese products, said the Blue Book of China's Marine Economy (2021), which was released in Qingdao, Shandong province, on Sunday.
The sectors' economic output value decreased slightly last year but showed signs of recovery. The book said China's marine GDP reached more than 8 trillion yuan ($1.24 trillion) last year, dropping 5.3 percent year-on-year.
However, market players in the marine sectors accelerated industrial reconstruction and quickly narrowed declines in revenues and profits with the help of favorable government policies.
The blue book was compiled by Ocean University of China, which is based in Qingdao, and the National Marine Data and Information Service, a government-funded public institution based in Tianjin that is responsible for the management of national marine data and information resources.
Wang Dianchang, former director of the policy, laws and regulation department of the State Oceanic Administration before it was merged into the newly created Ministry of Natural Resources in a government reshuffle in 2018, said China should establish a new pattern for high-quality development of the marine economy, and major coastal cities should play a big part.
Bay areas, like the Guangdong-Hong Kong-Macao Greater Bay Area, should undertake more tasks to improve their industrial structures and reduce repetitive construction and blind competition, Wang said at the blue book's launch ceremony.
He also mentioned the marine aquaculture sector, saying that the development of marine ranches represents a high-end trend for the sector.
The blue book said the marine economy will ride waves of scientific and technological innovation and make breakthroughs in more key technologies.
Marine engineering equipment manufacturing is expected to see greater application of Chinese-developed technology. For example, 5G technology will help new types of marine equipment, such as unmanned ships and remotely operated vehicles, enter the fast lane of development, the blue book said.
""The blue book features a comprehensive demonstration of China's efforts and achievements in promoting high-quality development of the marine economy, as well as its contribution to addressing global climate change,"" said Zhao Xin, director of the blue book's editorial board and dean of School of Economics at Ocean University of China.",OCEAN ECONOMY (91%); BLUE ECONOMY (90%); COVID CORONAVIRUS (90%); COVID-19 CORONAVIRUS (90%); INFECTIOUS DISEASE (90%); ECONOMIC DEVELOPMENT (89%); QUALITY CONTROL (89%); SHIPBUILDING (84%); BUSINESS NEWS (78%); GROSS DOMESTIC PRODUCT (78%); NATURAL RESOURCES (78%); OUTPUT & DEMAND (78%); MARINE AQUACULTURE (77%); OCEANOGRAPHIC & ATMOSPHERIC SERVICES (77%); GOVERNMENT & PUBLIC ADMINISTRATION (76%); PUBLIC POLICY (76%); AGRICULTURAL COMMODITIES MARKETS (74%); COMPANY PROFITS (73%); CONSUMPTION (73%); PANDEMICS (73%); MANUFACTURING OUTPUT (72%); INTERNATIONAL TRADE (69%); ENGINEERING (68%); PRODUCT INNOVATION (68%); CLIMATE CHANGE (62%)
2021-09-03,COVID-19 controls spur recovery of marine sectors,China Daily,502,"chinadaily.com.cn | Updated: 2021-12-12 19:28

A staff member tests samples of the COVID-19 inactivated vaccine at a vaccine production plant of China National Pharmaceutical Group (Sinopharm) in Beijing, April 11, 2020. [Photo/Xinhua]
Whether to choose to live with the novel coronavirus or to prevent it from infecting people by completely cutting the channels of its transmission? On this, China's practice differs from that of most developed countries. This is also why those countries that have chosen the way of herd immunity have long sought to cast doubts on the way China controlled the virus.
Some countries, considering the virus to be just another kind of flu, decided to lift all control and prevention measures months ago. The Omicron variant of the virus has taught them a lesson about how transmissible and devastating it can be.
Hundreds of thousands of new cases on a daily basis have once again turned the societies of many countries into a mess, and the governments of these countries have had to tighten control and prevention measures, mandating social distancing and the wearing of a mask.
The total number of infections in the United States alone has surpassed 50 million and the death toll has reached more than 800,000, with nearly 2,000 new deaths on a daily basis.
The situation in China is in sharp contrast with that in those countries.
Putting people's lives and health before everything, China has adopted strict control and prevention measures, which has won the cooperation of its people. Everyone is required to wear a mask in any public place and big data technology has been adopted to screen close contacts of the infected. Wherever a case is identified, the measures necessary to quarantine those close contacts and monitor those indirect contacts to cut off all channels for the transmission of the virus are immediately adopted.
As a result, China has generally kept the virus at bay and become the only major country in the world which has kept its economy operating as normal in the past two years. The entire Chinese society is running as it was before the pandemic.
It is no surprise that the country was the only major economy to register positive growth in 2020. The country's economy will continue to perform in a healthy and stable manner no matter what havoc the pandemic creates in the rest of the world.
This is because the Chinese government has adopted the right approach. It is also because the country's political system and institutions have made it possible for all the control and prevention measures to be implemented smoothly from the top to the grassroots.
China's excellent export performance has protruded how its success in responding to the pandemic has facilitated the development of its economy and has also brought to prominence how the failure of some major economies in their control of the pandemic has plagued their economic performance.
It is obvious that China is injecting vitality into the global economy with its success in containing the pandemic.","COVID-19 CORONAVIRUS (92%); COVID CORONAVIRUS (91%); COMMUNICABLE DISEASE CONTROL (90%); INFECTIOUS DISEASE (90%); VACCINES (90%); EPIDEMICS (89%); PUBLIC HEALTH (89%); VIRUSES (89%); BIOLOGICS MFG (78%); DISEASE IMMUNITY (78%); FACE MASK MANDATES (78%); INFLUENZA (78%); SOCIAL DISTANCING (78%); CORONAVIRUSES (76%); ECONOMIC DEVELOPMENT (75%); BUSINESS NEWS (72%); DEATH RATES (71%); EXPORT TRADE (70%); DEATH & DYING (67%); ECONOMIC CONDITIONS (65%); ECONOMY & ECONOMIC INDICATORS (65%)

Company:  CHINA NATIONAL PHARMACEUTICAL GROUP CORP (92%)"
2021-12-12,China did the right thing to contain COVID-19: China Daily editorial,China Daily,529,"By Zhang Zhihao | chinadaily.com.cn | Updated: 2020-04-09 20:34
Nature, one of the world's top scientific journals, issued an editorial on Tuesday apologizing for associating the novel coronavirus with Wuhan and China in its news coverage.
It also appealed for people to stop the stigma around the disease because it fuels racism and discrimination against Asian people, which undermines their willingness to study and work in foreign universities, institutions, and other scholarly enterprises.
In February, the World Health Organization announced the disease caused by the novel coronavirus would be called COVID-19. ""The WHO was implicitly sending a reminder to those who had erroneously been associating the virus with Wuhan and with China in their news coverage — including Nature,"" the editorial said.
""That we did so was an error on our part, for which we take responsibility and apologize,"" it said. But as countries struggle to control the spread of the virus, a minority of politicians are sticking with the outdated script and insist that China bears responsibility, it said.
These officials include US President Donald Trump, Brazilian lawmaker Eduardo Bolsonaro — the son of President Jair Bolsonaro — as well as politicians from the United Kingdom, Iran, India and Australia.
""Continuing to associate a virus and the disease it causes with a specific place is irresponsible and needs to stop,"" the editorial said, adding failure to do so has resulted in people of Asian descent around the world being subjected to racist attacks.
These attacks can hurt the feelings of over 700,000 Chinese students studying at universities outside of China, and many may feel hesitant to return in part due to fears of continuing racism, along with future uncertainties over courses and travel restrictions.
""These young people will experience disruption and the loss of new connections and opportunities,"" it said. ""But the loss of students from China and other countries in Asia has wide-ranging and worrying implications for scholarly enterprise, too. It means that universities in the affected countries will become less diverse — something that has not happened for generations.""
""For decades, campuses have striven to boost diversity, and countries have enacted policies to encourage international academic mobility. Diversity is valuable for its own sake,"" it said.
""It encourages understanding and dialogue between cultures, and sharing of points of view and ways of being. And it has always been fuel for research and innovation.""
The journal's advice for world leaders is to avoid and reduce the stigma, refrain from associating COVID-19 with particular groups of people or places, and emphasize that viruses do not discriminate and everyone is at risk.
""It would be tragic if stigma, fueled by the coronavirus, led Asia's young people to retreat from international campuses, curtailing their own education, reducing their own and others' opportunities and leaving research worse off — just when the world is relying on it to find a way out.
""Coronavirus stigma must stop — now,"" the journal said.
https://s3.amazonaws.com/syndigateimages/syndigate/imgs/498/1493/40/158644123074.jpeg",VIRUSES (99%); CORONAVIRUSES (90%); COVID CORONAVIRUS (90%); COVID-19 CORONAVIRUS (90%); INFECTIOUS DISEASE (90%); SCIENCE & TECHNOLOGY (90%); NEGATIVE NEWS (89%); NEGATIVE SOCIETAL NEWS (89%); RACE & ETHNICITY (89%); RACISM & XENOPHOBIA (89%); STUDENTS & STUDENT LIFE (89%); RESEARCH & DEVELOPMENT (78%); COMMUNICABLE DISEASE CONTROL (77%); PUBLIC HEALTH (77%); COLLEGES & UNIVERSITIES (76%); DISCRIMINATION (76%); HEALTH DEPARTMENTS (76%); MINORITY GROUPS (76%); ELECTIONS & POLITICS (72%); PUBLIC HEALTH ADMINISTRATION (71%); ASSOCIATIONS & ORGANIZATIONS (70%); UNITED NATIONS INSTITUTIONS (70%); US PRESIDENTIAL CANDIDATES 2012 (66%); US PRESIDENTIAL CANDIDATES 2016 (66%); US PRESIDENTIAL CANDIDATES 2020 (66%); US PRESIDENTS (66%); EMOTIONS (63%)
2020-04-09,"Science journal Nature issues apology for associating China, Wuhan, COVID-19",China Daily,436,"By WANG XU | China Daily Global | Updated: 2022-09-02 09:49
Having recovered from month-long COVID-19, Kiyoshi Kurihara vividly recalled the bitter experience in the fight for his life.
""At first, I just had a heavy head and pains in my back, but the situation quickly turned serious overnight when I woke up in the morning,"" Kurihara said. ""I got a temperature of over 38 C, and because I tested positive myself, no hospital wants to accept me.""
With a serious headache, Kurihara was on the phone for over two hours straight just to find a hospital that would check his overall condition.
""Unsurprisingly, no one would do that,"" said Kurihara, adding that he got some medicine, food and water delivered to his home from a government health center in the end.
With the explosive surge in cases amid Japan's seventh wave of COVID-19 infections, medical institutions and public health centers are under strain, so people like Kurihara are left struggling to cope with their infections on their own.
Since the beginning of this year, Japan has seen soaring infections as Tokyo shifted to a ""living with coronavirus"" strategy, loosening restrictions and promoting social and economic activity. In July and August, Japan ranked first in the world for new infection numbers for six consecutive weeks, bringing the total number of cases in the country to 18,780,302 and total deaths to 39,600. Figures showed that at least 1 in 7 residents in Japan have been infected with COVID-19, and at least 1 in 3,189 residents have died from the coronavirus.
A health ministry survey in April found that during the sixth wave of infections from January to March, at least 555 people were found to have died of COVID-19 at home while waiting for hospital treatment.
However, the strain on medical facilities continues to grow as hospital bed occupancy rate for COVID-19 patients went over 50 percent in 33 out of 47 Japanese prefectures as of Aug 7, with 10 prefectures exceeding 70 percent. At the same time, a record of more than 1.4 million people wait to be treated in hospital as they await at home.
To make matters worse, the Japanese government was reported to have simplified its coronavirus management policy on Wednesday. Under the new policy, reporting of COVID-19 cases will be limited to patients at high risk of developing severe COVID-19, including elderly people and those with underlying conditions, according to local media.
""The government did not have adequate predictions or preparations in the seventh wave, resulting in confusion due to a series of delayed responses,"" read an editorial in the Mainichi Shimbun newspaper.","COVID CORONAVIRUS (90%); COVID-19 CORONAVIRUS (90%); INFECTIOUS DISEASE (90%); PUBLIC HEALTH ADMINISTRATION (90%); CORONAVIRUSES (89%); DEATH & DYING (89%); VIRUSES (89%); COVID-19 CORONAVIRUS REGULATION & POLICY (78%); HOSPITAL OCCUPANCY RATES (78%); SOCIETY, SOCIAL ASSISTANCE & LIFESTYLE (78%); HEALTH CARE POLICY (75%); PUBLIC HEALTH (75%); HEALTH DEPARTMENTS (73%); DEATH RATES (70%); RANKINGS (70%); SENIOR CITIZENS (50%)"
2022-09-02,Light shone on ordeal of virus patients in Japan,China Daily,520,"chinadaily.com.cn | Updated: 2022-12-04 19:25
""We are much closer to being able to say that the emergency phase of the pandemic is over - but we're not there yet.""
That's the core message the World Health Organization Director-General Tedros Adhanom Ghebreyesus conveyed to the world in a media briefing on Friday. Rather than being outdated, the virus control measures China carries out is a responsible answer to the call of the times, if not the urgent needs to protect people's lives and health.
More than 8,500 people around the world lost their lives last week because of COVID-19. The majority of these were reported outside of China where it is believed that so-called herd immunity has already been achieved. That should serve as a timely reminder to those questioning the necessity of the strict COVID-19 pandemic prevention and control policy of the Chinese mainland.
Although there are calls for the policy to be lifted, it is not the right time for the most populous country to lift its control on the virus, given that seasonal flus and other respiratory illnesses that are common in winter will mean a sharp rise in novel coronavirus infections that will likely be accompanied by a rise in the number of deaths attributable to COVID-19, which would undo what the nation has achieved over the past more than three years.
Saturday marked one year since the WHO announced a new variant of concern in the COVID-19 pandemic: the Omicron variant, which has proved to be significantly more transmissible than its predecessor, Delta, and continues to cause significant mortality due to the intensity of transmission, as the WHO chief said.
The number of weekly deaths reported to the WHO has declined slightly over the past five weeks, but more than 2.5 million people were infected by the virus last week, according to reports the WHO has received. At present, there are more than 500 sublineages of the Omicron strain circulating. They are all highly transmissible. But more important, these sublineages of Omicron all have mutations that enable them to escape built-up immunity more easily.
Surveillance, testing, sequencing and vaccination remain the most effective way to prevent significant mortality. That's exactly what China has been trying to do, despite the pandemic fatigue that has understandably set in among some.
What China needs is to urge local governments to adjust their virus control measures according to the actual conditions in their jurisdictions. The people-first principle should be the defining guidance of the prevention and control work. For instance, people's livelihoods must be guaranteed, any urgent need for medical care must be met promptly and people's psychological well-being should be kept an eye on.
Now as the country moves to the next stage of epidemic prevention and control, strengthening the immunization of the whole population, especially the elderly, along with increasing the handling capacities of the country's intensive care units, rather than the collective quarantine sites as home quarantine is sufficient for most light and asymptomatic cases, represent a top priority.",COVID CORONAVIRUS (92%); COVID-19 CORONAVIRUS (90%); COVID-19 CORONAVIRUS REGULATION & POLICY (90%); EPIDEMICS (90%); INFECTIOUS DISEASE (90%); PANDEMICS (90%); PUBLIC HEALTH (90%); DEATH & DYING (89%); DISEASES & DISORDERS (89%); INTERNATIONAL ORGANIZATIONS & BODIES (78%); PUBLIC HEALTH ADMINISTRATION (78%); COMMUNICABLE DISEASE CONTROL (77%); CORONAVIRUSES (77%); DISEASE IMMUNITY (77%); INFLUENZA (77%); PUBLIC HEALTH SURVEILLANCE (77%); VIRUSES (76%); INTERNATIONAL GOVERNMENTAL ORGANIZATIONS (73%); ASSOCIATIONS & ORGANIZATIONS (72%); GOVERNMENT & PUBLIC ADMINISTRATION (72%); HEALTH DEPARTMENTS (72%); RESPIRATORY DISORDERS & INJURIES (72%); SURVEILLANCE (72%); UNITED NATIONS INSTITUTIONS (72%); VACCINES (72%); DEATH RATES (70%); REGIONAL & LOCAL GOVERNMENTS (50%)
2022-12-04,People-first should be guide for any adjustment of COVID policy: China Daily editorial,China Daily,440,"chinadaily.com.cn | Updated: 2022-12-25 19:50
The National Health Commission stopped disclosing the daily COVID-19 pandemic data on Sunday.
That move marks the fight with the virus has entered a new stage, for the data has been widely taken as a foundation for policymaking and adjustment. It signals that more must be done to address the challenges posed by the continuous resurgence of infections nationwide.
That the public health system in Beijing, which has the most medical care resources in the country, has been under great strain because of the sharp rise of severe cases caused by the virus should serve to make the dire situations elsewhere in the country imaginable, particularly the rural areas where the gap between people's demands and the supplies of medical resources is much bigger.
Although most of those infected with the novel coronavirus recover after several days of home quarantine, the virus still poses a risk to senior residents, especially those with underlying health conditions.
China has about 270 million people aged 60 and above, and 36 million aged 80 and above, more than the total of that of all developed economies combined. While the overall capacity of China's intensive care units is much smaller in comparison with those countries. Not to mention the uneven distribution of health care resources nationwide.
That's why the COVID-19 prevention and control task force of the State Council, China's Cabinet, recently urged all local governments to prioritize treatment for the aged population, and all major hospitals to serve as the key defensive line for saving lives.
The NHC has demanded these major hospitals to double the number of intensive care unit sickbeds by the end of this month from the current 4 percent of their total number of sickbeds to at least 8 percent.
Meanwhile, local governments now need to divert their focus and inputs from nucleic acid testing and building collective quarantine stations to increasing the production and supplies of anti-fever and anti-inflammatory medicines to meet the surging demand. Local authorities should also pay attention to the scientific advice and keep the public informed of the pandemic situation.
The current wave of infections will peak and people have no reason not to remain confident in the country's fight with the virus, which continues to put saving people's lives and protecting people's health first.
Following the basic protocol of good hygiene habits, isolating at home, if one does become infected, and doing one's job well are all important contributions that individuals can make to ensure the country passes this test as quickly as possible.",COVID CORONAVIRUS (90%); COVID-19 CORONAVIRUS (90%); EPIDEMICS (90%); INFECTIOUS DISEASE (90%); PANDEMICS (90%); PUBLIC HEALTH (90%); INTENSIVE CARE UNITS (89%); ISOLATION & QUARANTINE (89%); REGIONAL & LOCAL GOVERNMENTS (86%); CORONAVIRUSES (78%); HEALTH DEPARTMENTS (78%); MEDICINE & HEALTH (78%); PUBLIC HEALTH ADMINISTRATION (78%); PUBLIC POLICY (78%); VIRUSES (77%); GOVERNMENT & PUBLIC ADMINISTRATION (76%); CABINET OFFICES (64%)
2022-12-25,Country requires all able hands on deck: China Daily editorial,China Daily,477,"chinadaily.com.cn | Updated: 2022-12-27 20:22
When China introduced strict COVID-19 pandemic prevention and control policies three years ago, Western critics called the lockdowns imposed on Wuhan and elsewhere an inhuman medieval practice.
Yet when Western countries were forced to implement their own lockdowns to prevent their own health systems from being overwhelmed, they praised as the moves as resolute measures to protect people from the virus.
Now that the virus is displaying weakened pathogenicity and most of China's population is vaccinated, the country has taken the initiative to lift its strict virus control measures. But to these Western critics this is not of its own volition. Rather, it is because the country has had to surrender to the virus. They claim it proves that the country's dynamic clearing policy has been a failure. Of course, when their own countries reopened, it was portrayed as a calculated decision to acquire herd immunity.
Having found it impossible to explain the discrepancy between large number of deaths attributable to the virus in their own countries and the relatively low number in China, they are predicting a tsunami of COVID deaths in China now that, according to them, the country has been ""forced"" to ""abruptly"" end its former pandemic control policies.
While the Chinese economy has maintained sizable growth, and demonstrated its resilience and potential even at the most difficult time, these critics clamor that the world's second-largest economy is collapsing.
When China selflessly provides vaccines, essential medical care supplies and life necessities to the rest of the world, they claim the vaccines and medical items do not work, and China is making a fortune out of other's misfortune.
Even though China remains a reliable trade partner and a driver of the global economy as a manufacturing center, logistics hub and key link in the global industry and supply chains, these critics spread alarmist fear that China's COVID policies are threatening the stability of world trade and foreign companies are losing confidence in it.
Calling black white, they turn a blind eye to which countries are trying to collude with each other to weaponize trade, investment and technology to hijack the world economy for their own narrow ends.
They also choose to ignore the gap in medical care resources between China and their own countries, as well as China's development stage and the size of its population, taking every opportunity to hype up any medical supply shortage after the adjustment of the COVID-19 policies as fault or failure of the Chinese government. Something none of their own countries proved to be able to do even with their more developed medical care conditions and much smaller populations.
The question is for how long will these critics persist with their dog-and-pony shows of bias and prejudice.",COVID CORONAVIRUS (90%); COVID-19 CORONAVIRUS (90%); EPIDEMICS (90%); INFECTIOUS DISEASE (90%); PANDEMICS (90%); PUBLIC HEALTH (90%); VACCINES (90%); COVID-19 CORONAVIRUS REGULATION & POLICY (89%); POPULATION SIZE (89%); BUSINESS NEWS (86%); ECONOMIC CONDITIONS (86%); ECONOMY & ECONOMIC INDICATORS (86%); COMMUNICABLE DISEASE CONTROL (78%); DISEASE IMMUNITY (78%); GLOBALIZATION (78%); SUPPLY CHAIN MANAGEMENT (78%); DEATH RATES (75%); SUPPLY CHAIN DISRUPTIONS (71%); INTERNATIONAL TRADE (67%); COMMODITIES SHORTAGES (63%); MANUFACTURING OUTPUT (63%); SHORTAGES (63%)
2022-12-27,Some Western critics never tire of their efforts to smear China: China Daily editorial,China Daily,451,"chinadaily.com.cn | Updated: 2022-08-28 17:43
Just as it failed to contain the spread of the novel coronavirus, the United States is failing in its response to the spread of the monkeypox virus as the number of cases has increased to 16,603 as of August 24, the largest of all countries. As of Sunday, the virus had been detected in all 50 states in the country.
That this happens despite it having suitable vaccines in its Strategic National Stockpile points to the serious flaws in its social governance.
When the first monkeypox infection was reported in the US in May, the Joe Biden administration sent a confident message, which came to: We've got this.
However, they haven't. The measures that should have been taken have remained a lip service. The country has obviously not learned the lessons from its poor response to the COVID-19 pandemic, which has resulted in the US having the largest number of COVID-19 infections and deaths due to the disease in all countries.
Then what has gone wrong? Why did it fail in its response to the COVID-19 pandemic and now to the monkeypox pandemic?
The political system in the US is ailing. Those in power have been too preoccupied with bipartisan struggles to pay attention to the making and implementation of specific policies to ensure people's well-being. Winning elections and beating political rivals have been placed above the public good.
Such a twisted practice means the political parties in the US have parted company with the people, and they are now just playing political games within their own circle. Politics for the sake of politics has become the harmful reality of the US.
This has emasculated the social governance of the US as it has rendered the governing bodies at all levels ineffective. As a result, preemptive measures to contain the spread of the monkeypox virus upon its appearance have failed to be taken. Foot dragging thereafter has made the US health department miss every opportunity possible to contain the spread of the virus.
On the current evidence, it is clear that the US will not be able to respond effectively to any health hazards to come. It will not be able to protect its people from future outbreaks of deadly diseases, which experts say are likely to become more frequent as a consequence of climate change.
The US always points its fingers at other countries when it comes to the issues of human rights. But it is indeed high time that it carefully examined its own human rights conditions. Its failed responses to the novel coronavirus and monkeypox virus show it has failed to safeguard people's right to health.
The US needs to be reminded that it should put its own house in order first before lecturing other countries.",VIRUSES (91%); COMMUNICABLE DISEASE CONTROL (90%); CORONAVIRUSES (90%); COVID CORONAVIRUS (90%); COVID-19 CORONAVIRUS (90%); DISEASES & DISORDERS (90%); ELECTIONS & POLITICS (90%); EPIDEMICS (90%); INFECTIOUS DISEASE (90%); PANDEMICS (90%); POLITICS (90%); PUBLIC HEALTH (90%); HUMAN RIGHTS (78%); BIPARTISANSHIP (77%); GOVERNMENT & PUBLIC ADMINISTRATION (77%); PUBLIC HEALTH ADMINISTRATION (77%); US POLITICAL PARTIES (77%); VACCINES (73%); POLITICAL ORGANIZATIONS (72%); POLITICAL PARTIES (72%); US PRESIDENTIAL CANDIDATES 2016 (69%); US PRESIDENTIAL CANDIDATES 2020 (69%)
2022-08-28,Monkeypox exposes sickness in US political system: China Daily editorial,China Daily,482,"chinadaily.com.cn | Updated: 2021-12-28 19:26

Some samples of expired AstraZeneca coronavirus disease (COVID-19) vaccines are seen at the Gosa dump site in Abuja, Nigeria, Dec 22, 2021. PHOTO/AGENCIES
Nigeria destroyed more than 1 million doses of expired AstraZeneca vaccines on Dec 22. And the country's health officials said that Nigeria will no longer accept vaccines with a short shelf life.
Senegal will reportedly destroy 400,000 doses of COVID-19 vaccines before the end of this year. And in May, Malawi destroyed 20,000 doses of expired COVID-19 vaccines, and the Democratic Republic of Congo returned 1.3 million doses of vaccines to Western donors as it had no time to administer the vaccines before they expired.
What if these vaccines had been donated by China? The Western media would have been in an uproar. Not surprisingly, there has been a studied silence as the country that has donated most of the expired and soon-to-expire vaccines is the United States. The World Health Organization has called on donor countries to improve the quality of the vaccines they donate to African countries.
Statistics show that till July this year, the amount of COVID-19 vaccines the US had hoarded was far more than its domestic need. It has been estimated that the US and its allies have hoarded millions of doses of COVID-19 vaccines in total.
With the hoarded vaccines soon to expire they are releasing them to fulfill their vaccine donation commitments. According to COVAX, an initiative to ensure vaccine accessibility worldwide led by the WHO, the Western countries often make impromptu donations of short shelf-life vaccines to African countries giving them no advance notice.
Given the conditions in the African countries, where it takes longer to administer vaccines, not to mention the stringent and challenging requirements for the storage and transportation of the Western vaccines, the Western countries' donations are more like dumping their medical waste in Africa.
To some extent, the surfacing of the Omicron variant in Africa is not an accident but a consequence of delayed vaccination in African countries — only 7.5 percent of the 1.3 billion people living in Africa have been vaccinated — which might prompt the Western countries to hoard their vaccines again in the future.
It has been at a high cost in terms of lives lost and people's sufferings, but the COVID-19 pandemic has proved that the world is a community with a shared future. Recognizing this, China has so far provided nearly 2 billion doses of vaccines to more than 120 countries and international organizations. More importantly, it is outsourcing the production of its COVID-19 vaccines to other developing countries so that they can make the vaccines themselves.
China's motive for doing so originates from its firm belief that until the virus withdraws from its last foothold in the world, no country is safe.","VACCINES (96%); COVID CORONAVIRUS (93%); COVID-19 CORONAVIRUS (93%); HEALTH DEPARTMENTS (90%); INFECTIOUS DISEASE (90%); LANDFILLS (89%); PUBLIC HEALTH (89%); PUBLIC HEALTH ADMINISTRATION (89%); CORONAVIRUSES (78%); EPIDEMICS (78%); PANDEMICS (78%); VACCINATION & IMMUNIZATION (78%); VIRUSES (78%); DEVELOPING COUNTRIES (74%); DEMOCRACIES (73%); MEDICAL WASTE & BIOHAZARDS (72%); ASSOCIATIONS & ORGANIZATIONS (71%); INTERNATIONAL ASSISTANCE (69%); STATISTICS (66%); UNITED NATIONS INSTITUTIONS (66%); OUTSOURCING (50%)

Company:  ASTRAZENECA PLC (85%)

Ticker: AZN (STO) (85%); AZN (NYSE) (85%); AZN (LSE) (85%)"
