date,title,section,body,subject,length,source
2022-01-25,COVID-19: A Second Opinion,,"While social media operates on the attention logic, those with many followers have a higher potential to escalate issues. Celebrities started sharing information about the pandemic, but not all stars play the same role. Some educate and motivate the public about vaccination, while others spread disinformation content to their followers.
After the pandemic outbreak, some celebrities started sharing disinformation about the crisis. A may 2021 research study found that only 12 stars are behind the most hoax content producing about 65% of the content; the content included claims denying that Covid-19 exists or spreading false cures. Facebook responded by saying it took more content shared by these accounts, while Twitter permanently suspended two of the accounts. In some cases, some of these celebrities disinform the public by mixing their personal views and speculation with facts. For instance, Madonna, the well-known singer and actor with 15 million Instagram followers, claimed that the vaccine exists, but it was concealed to let fear control the people. Some malicious actors even decided to utilize the celebrities' power to spread false information about the Covid-19. In July 2021, a news report exposed a London-based marketing company that attempted to pay some of the influencers in exchange for sharing disinformation content. The company provided them with lists of dubious articles and sources that claim the Pfizer vaccine is dangerous.
But celebrities also have been playing a positive role. They involuntarily share correct information about the crisis by posting their photos of getting the vaccine to motivate their followers. In other cases, they are being hired by governments and companies. For instance, Biden's administration planned to use celebrities to combat vaccine hesitancy. In the UK, the NHS listed sensible celebrities to persuade the public to get their vaccine shot, and drug companies such as AstraZeneca also tapped into the power of celebrities to influence the public about the vaccine.
Celebrities will keep playing a significant role in this ongoing crisis. Tech companies should work more on monitoring the shared covid related content; media literacy groups should design materials that help the public not blindly follow the celebrities' content. Health information organizations should work directly with celebrities to supply them with updated information and fact about the pandemic.","DISINFORMATION & MISINFORMATION (93%); EPIDEMICS (92%); CELEBRITIES (90%); COVID CORONAVIRUS (90%); COVID-19 CORONAVIRUS (90%); HEALTH MISINFORMATION (90%); INFECTIOUS DISEASE (90%); INTERNET SOCIAL NETWORKING (90%); PANDEMICS (90%); PUBLIC HEALTH (90%); VACCINES (90%); NEGATIVE NEWS (89%); ACTORS & ACTRESSES (78%); HEALTH CARE INFORMATION (78%); SOCIAL MEDIA (78%); SOCIAL MEDIA INFLUENCERS (78%); VACCINATION & IMMUNIZATION (78%); RESEARCH REPORTS (71%); ASSOCIATIONS & ORGANIZATIONS (60%)

Company:  META PLATFORMS INC (56%);  PFIZER INC (55%);  ASTRAZENECA PLC (52%)

Ticker: META (NASDAQ) (56%); PFZ (LSE) (55%); PFE (NYSE) (55%); AZN (STO) (52%); AZN (NYSE) (52%); AZN (LSE) (52%)

Industry: NAICS516210 MEDIA STREAMING DIST SVCS, SOCIAL NETWORKS, AND OTHER MEDIA NETWORKS AND CONTENT PROVIDERS (56%); SIC7374 COMPUTER PROCESSING & DATA PREPARATION & PROCESSING SERVICES (56%); NAICS325414 BIOLOGICAL PRODUCT (EXCEPT DIAGNOSTIC) MANUFACTURING (55%); NAICS325412 PHARMACEUTICAL PREPARATION MANUFACTURING (55%); NAICS325411 MEDICINAL & BOTANICAL MANUFACTURING (55%); SIC2836 BIOLOGICAL PRODUCTS, EXCEPT DIAGNOSTIC SUBSTANCES (55%); SIC2834 PHARMACEUTICAL PREPARATIONS (55%); SIC2833 MEDICINAL CHEMICALS & BOTANICAL PRODUCTS (55%); CELEBRITIES (90%); HEALTH MISINFORMATION (90%); INTERNET SOCIAL NETWORKING (90%); VACCINES (90%); PHARMACEUTICALS INDUSTRY (89%); ACTORS & ACTRESSES (78%); HEALTH CARE INFORMATION (78%); PUBLIC RELATIONS (78%); SOCIAL MEDIA (78%); SOCIAL MEDIA INFLUENCERS (78%); VACCINATION & IMMUNIZATION (78%)

Person: MADONNA (78%)",406,iOTWreport
2022-12-16,Celebrities Are Boosting Disinformation About Covid-19 – OpEd,,"The following information was released by the Metropolitan Police Department:
The investigation into allegations of breaches of COVID-19 regulations in Whitehall and Downing Street has now progressed to the point where the first referrals for fixed penalty notices (FPN) will be made to ACRO Criminal Records Office.
We will today initially begin to refer 20 fixed penalty notices to be issued for breaches of Covid-19 regulations. The ACRO Criminal Records Office will then be responsible for issuing the FPNs to the individual following the referrals from the MPS.
We are making every effort to progress this investigation at speed and have completed a number of assessments. However due to the significant amount of investigative material that remains to be assessed, further referrals may be made to ACRO if the evidential threshold is made.
As it has for all fixed penalty notices issued during the pandemic, the MPS will follow the College of Policing Approved Professional Practice for Media Relations which states that ""Identities of people dealt with by cautions, speeding fines and other fixed penalties out-of-court disposals should not be released or confirmed.""
We will not confirm the number of referrals from each individual event subject to our investigation as providing a breakdown at this point may lead to identification of the individuals.","FINES & PENALTIES (93%); COVID CORONAVIRUS (91%); COVID-19 CORONAVIRUS (91%); COVID-19 CORONAVIRUS REGULATION & POLICY (91%); INVESTIGATIONS (91%); CRIME, LAW ENFORCEMENT & CORRECTIONS (90%); CRIMINAL INVESTIGATIONS (90%); INFECTIOUS DISEASE (90%); NEGATIVE NEWS (90%); NEGATIVE PERSONAL NEWS (90%); NEGATIVE MISC NEWS (78%); POLICE FORCES (78%); LAW ENFORCEMENT TRAINING (73%)

Company: METROPOLITAN BANK HOLDING CORP (58%)

Ticker: MCB (NYSE) (58%)

Industry: NAICS522110 COMMERCIAL BANKING (58%); SIC6029 COMMERCIAL BANKS, NEC (58%); LAW ENFORCEMENT TRAINING (73%)",225,Eurasia Review
2022-03-29,OP HILLMAN - COVID-19 REGULATION BREACHES UPDATE,,"COVID-19 isn't really over, I know. Every day, people get sick. This year, there will be 150,000 COVID deaths in the US. In the next 12 months, Israel will have just over 1,000 COVID deaths.
Despite the documented dangers, there comes a time when we just have to 'live with COVID.' Not just in words, but also in action.
The moment came when indoor mask mandates were relaxed for many people. I and my wife, Jody, held on longer. Five weeks ago, we received the Omicron booster vaccine, which we consider to be our turning point.
The feeling on that day was: We've done everything we can. According to Trevor Bedford, a virologist at the Fred Hutchinson Cancer Center, this booster won't prevent us from getting COVID again (COVID likely continues to infect 50% of us every year), but it may lessen the severity of the disease.
Apart from that, I had a positive experience with Paxlovid when I caught be immunocompromised, but if I survived it once, I'll survive it again.
In crowded places, on public transportation, and on airplanes, we still mask up. As a result, things get awkward.
In The Atlantic, Kathryn Wu writes, mask wearers are a shrinking minority in society. Once again, the act has become strange.
As Joe Biden declared on 60 Minutes, 'The pandemic is over... If you notice, no one is wearing masks anymore.'
Wishful thinking does not constitute epidemiological accuracy. When he announced in 2020, 'One day - like a miracle - it will disappear,' Trump wasn't some Greek oracle. COVID-19 isn't going away by itself.
COVID-19 is still a huge problem.
One of Israel's biggest HMOs, Maccabi Healthcare Services, found that 34.6% of participants weren't back to their baseline health condition after recovering from COVID-19.
Even so, masking is down to 29% of the population in America, down from 50% to 80% in the first two years.
It's like showing up in a weird hat,' Wu's friend told her.
My mask prevented COVID-19. I couldn't resist. Doctors know best.
Meghan McCoy, an immunocompromised physician, says feeling alone is difficult. 'It is noticeable.'
A dysfunctional immune system doesn't always manifest itself as a big sign, McCoy says.
There are masks on those kinds of signs now.
Unlike wheelchairs, prosthetic devices, or service dogs, masks draw attention in a post-COVID-19 world. They 'invite skepticism, condescension and invasive questions,' Wu writes.
Wu explains that mask-freeing is like reverting to a safer, more peaceful past. People may feel jettisoned when they discard masks, while clinging to them reminds them of a difficult memory.
The 'new normal' is also an admission of failure.
An unstoppable virus now circulates among humans. Annual flu outbreaks still contain DNA remnants from the 1918 flu pandemic.
Mask-wearing and vaccines became political issues, not matters of public safety.
FAIL TO EMBRACE EFFECTIVE GOVERNMENT OVER POPOPISM.
Jody and I attended the screening of Cinema Sabaya, Israel's top Ophir award-winning film. As soon as we heard the man behind us coughing, we donned our masks and felt safer.
Before big events or vacations, we wear our masks more consistently so that we don't miss out.
Wu asked her Taiwanese mother, 'How is masking working in Taipei? '
In public places, even where it is not mandated, it is quite common.
Her mother's response to Wu's question was telling.","COVID CORONAVIRUS (96%); COVID-19 CORONAVIRUS (94%); EPIDEMICS (92%); INFECTIOUS DISEASE (90%); PANDEMICS (90%); PUBLIC HEALTH (90%); DISEASE IMMUNITY (89%); FACE MASK MANDATES (79%); VACCINES (79%); DISEASES & DISORDERS (78%); MEDICINE & HEALTH (78%); VIROLOGY (78%); CANCER (74%); EPIDEMIOLOGY (73%); MICROBIOLOGY (70%); SERVICE & SUPPORT ANIMALS (62%); PROSTHETICS & ORTHOTICS (50%)

Industry: VACCINES (79%); VIROLOGY (78%); EPIDEMIOLOGY (73%); HEALTH CARE (62%); HEALTH MAINTENANCE ORGANIZATIONS (50%); PROSTHETICS & ORTHOTICS (50%)

Person: JOE BIDEN (79%)",552,States News Service
2022-12-19,"COVID-19 Pandemic Over? Opinions, Please",,"The following is a lightly edited transcript of remarks made by Tanzina Vega during a Newsweek episode of The Debate about COVID-19. You can listen to the podcast here:
Outside of rugged American individualism, we need more empathy in this country. What broke my heart wasn't so much that people want to rip off their masks and go to party at nightclubs. I get that. It's human nature. But we had an opportunity as a country to structure public health through the lens of empathy. We can start to pull back on mask-wearing and some of the mandates as cases decline, but in certain instances we need to make sure that we're protecting the safety and health of those around us.
If you're double-vaxxed and boosted, your likelihood of getting sick or dying is very low, but we must consider the immunocompromised, long COVID, and the lack of healthcare and insurance in this country, because there are still people who are particularly vulnerable. I'm not saying stop the festivals or the partying. I'm saying there are certain instances and situations where I would hope that we could have a little more empathy towards each other, and the understanding that there are still people who are at risk. In public places, where people are going to be in tight quarters, let's do the right thing by each other.
Tanzina Vega is an award winning journalist who has reported for The New York Times, CNN, and WNYC.
The views expressed in this article are the writers' own.
Link to Image

Graphic

 
Immigrant workers needed for job opening surge
JEFF KOWALSKY/AFP via Getty Images
The U.S. is expected to have an estimated 1.4 million new health care service jobs by 2030, many of which the American Immigration Council says will likely be filled by immigrants. Above, a nurse practitioner fills a syringe with the Pfizer COVID-19 vaccine at the Beaumont Health offices in Southfield, Michigan on November 5, 2021.","COVID CORONAVIRUS (91%); COVID-19 CORONAVIRUS (91%); INFECTIOUS DISEASE (90%); SAFETY (90%); TRANSCRIPTS (90%); DISEASE IMMUNITY (78%); PUBLIC HEALTH (71%); TRENDS & EVENTS (71%); EDITORIALS & OPINIONS (59%); Opinion (%)

Industry: PODCASTING (72%); NIGHTCLUBS (56%)",244,Chiang Rai Times
2022-05-09,Show Empathy for Those Vulnerable to COVID-19 | Opinion,,"The city government reduced the operating time of its triage and testing facilities and is looking at closing the central isolation facility at the former Sto. Nino hospital.
The central triage and at the Baguio Convention Center will operate from 8 a.m. to 5 p.m. from the previous 24 hours of operation and 8 a.m to 4 p.m. for antigen testing,"" city health officer Dr. Rowena Galpo said in a phone interview on Tuesday.
The move is part of the city's efforts to wind down coronavirus disease 2019 (Covid-19) control and response systems amid the easing of pandemic curbs nationwide.
The city is also planning to close the community isolation facility at Sto. Nino Hospital as it only sees a maximum of 10 patients at a given time.
The patients will instead be housed at the central triage at the Baguio Convention Center compound under home isolation guidelines.
Galpo said most of the individuals who test positive for Covid-19 opt for home isolation, which means a low occupancy rate of the isolation facilities.
Only those whose homes are not favorable to the situation go to the facility, she said.
She said the city also scaled down testing protocols based on the guidelines of the Department of Health (DOH) limiting testing only to symptomatic health workers, senior citizens, and persons with comorbidity.
While the city continues to downgrade operations of Covid-19 facilities, Galpo said they will continue to promote vaccination as the primary preventive measure against the severe effect of the coronavirus on individuals.
Galpo also said the city's two-week Covid-19 growth rate decreased from 44 to 41 percent and its weekly infection rate dropped from 1.60 to 1.20 percent.
She said the city remains to have a high testing rate among residents averaging 108 to 102 tests per day. -PNA","COVID CORONAVIRUS (93%); COVID-19 CORONAVIRUS (92%); MEDICAL TRIAGE (91%); CITY GOVERNMENT (90%); HEALTH DEPARTMENTS (90%); INFECTIOUS DISEASE (90%); ISOLATION & QUARANTINE (90%); CITIES (78%); REGIONAL & LOCAL GOVERNMENTS (78%); DISEASES & DISORDERS (77%); EPIDEMICS (77%); CORONAVIRUSES (76%); HEALTH CARE PROFESSIONALS (76%); PUBLIC HEALTH (76%); PUBLIC HEALTH ADMINISTRATION (75%); VIRUSES (75%); GOVERNMENT & PUBLIC ADMINISTRATION (73%); VACCINES (73%); SENIOR CITIZENS (50%)

Industry: MEDICAL TRIAGE (91%); HEALTH DEPARTMENTS (90%); HEALTH CARE PROFESSIONALS (76%); VACCINES (73%)",298,Newsweek.com
2022-11-24,Philippines : Baguio scales down Covid-19 facilities' ops,,"Coronavirus has forced us to live a life that most of us have never experienced before with almost one fourth of the world's population on lockdown.
A cloud of uncertainty has descended upon us all, leading to fear. The global economy has gone into a tailspin. No matter what part of the world we live in, no matter what our nationalities, color, religion, culture, socio-economic status, we are all facing the same crisis to varying degrees all at the same time. Our common fear can also become a source of courage, resilience and hope.
The current epidemic is forcing us to acknowledge that we are a world of common problems and solutions. Crises and disasters evoke a sentiment of kindness and giving that manifests in charity and philanthropy to those in despair. Of course, this is much needed, but it tends to only last as long as the crisis and disaster remain in the news. These are acts of sympathy - when you feel the suffering of others or, empathy- when you feel the suffering of others as your own.
Today I saw an ordinary couple and their children cooking. Then the man with his mask on left to distribute the food to the homeless twice in the day. Millions of healthcare givers are risking their lives round the clock. This gives me hope!
Sustainable solution lies in igniting and globalizing compassion. Compassion goes beyond just sympathy or empathy. It is a strong feeling for the suffering of others as your own, along with a deep desire to take action to end it.
This present crisis is an opportunity to reinvigorate our inner power of compassion and enlarge its circle to every known and unknown being. It is not just the virus that is infectious, compassion too can be contagious!
As we are asked to self-isolate and feel frustrated we must ask, what about those children who have no home to self-isolate in? While we panic about how we can fill our fridges, what about the families with no fridge at all? While we worry about our jobs, what about the people who only eat when they earn money that day?
Decisions made by our leaders, actions taken by us and the discourses that ensue in the next few weeks will be crucial. They are going to shape the future of polity, economy, culture and morality. Development priorities will be recalibrated, individual freedom, privacy and human rights will be redefined. Conventional politics can also be transformed into compassionate politics.
In the last two weeks, policy makers have already released over three trillion USD in emergency support for the companies and people in the richest countries. That funding is needed and is important, but we also need to see the governments of the world come together and announce a rescue package for the most marginalized children - even if 20% of this support was targeted at the poorest people and families in the world it would save millions and millions of lives. We are seeing debt assistance for some of the richest companies in the world, but what about the debt of the poorest countries who desperately need funds to fight this crisis! Cancelling the debt of the poorest countries would make all of humanity safer.
The truth is and always has been that we are all dependent on each other. The richest businessman is dependent on the poorest cleaner to keep him safe. Coronavirus is a stark reminder that the health of humanity is dependent on how well we can create healthcare systems for all our citizens. Our future, your children's future will be best if we can show compassion to all in these scary and uncertain times. Whether it is marginalized people in your community or around the world, reach out with compassion and take action today, tomorrow and every day.
If we can find compassion in our hearts, from the tragedy of the COVID 19 pandemic we can act to help all of humanity and develop a more just and safer future for all.
We humans are destined to live together. How we choose to live together, is up to us!
Our Standards: The Thomson Reuters Trust Principles.
Any views expressed in this opinion piece are those of the author and not of Thomson Reuters Foundation.","COVID CORONAVIRUS (90%); COVID-19 CORONAVIRUS (90%); GLOBALIZATION (90%); INFECTIOUS DISEASE (90%); POPULATION SIZE (90%); CORONAVIRUSES (89%); ECONOMY & ECONOMIC INDICATORS (89%); FAMILY (89%); SOCIAL DISTANCING (89%); VIRUSES (89%); CHILDREN, ADOLESCENTS & TEENS (87%); EPIDEMICS (79%); BUSINESS NEWS (78%); CHARITIES (78%); FOUNDATIONS (78%); PHILANTHROPY (78%); POOR POPULATION (78%); ECONOMIC CONDITIONS (77%); PUBLIC POLICY (77%); DISEASES & DISORDERS (75%); HOMELESSNESS (74%); POVERTY & HOMELESSNESS (69%); RELIGION (56%); PRIVACY RIGHTS (50%); Coronavirus (%)",680,Thai News Service
2020-03-27,Opinion - Globalizing Compassion Amidst COVID-19 [opinion],,"BAGUIO CITY, Nov. 22 -- The city government reduced the operating time of its triage and testing facilities and is looking at closing the central isolation facility at the former Sto. Nino hospital.
""The central triage and at the Baguio Convention Center will operate from 8 a.m. to 5 p.m. from the previous 24 hours of operation and 8 a.m to 4 p.m. for antigen testing,"" city health officer Dr. Rowena Galpo said in a phone interview on Tuesday.
The move is part of the city's efforts to wind down coronavirus disease 2019 (Covid-19) control and response systems amid the easing of pandemic curbs nationwide.
The city is also planning to close the community isolation facility at Sto. Nino Hospital as it only sees a maximum of 10 patients at a given time.
The patients will instead be housed at the central triage at the Baguio Convention Center compound under home isolation guidelines.
Galpo said most of the individuals who test positive for Covid-19 opt for home isolation, which means a low occupancy rate of the isolation facilities.
""Only those whose homes are not favorable to the situation go to the facility,"" she said.
She said the city also scaled down testing protocols based on the guidelines of the Department of Health (DOH) limiting testing only to symptomatic health workers, senior citizens, and persons with comorbidity.
While the city continues to downgrade operations of Covid-19 facilities, Galpo said they will continue to promote vaccination as the primary preventive measure against the severe effect of the coronavirus on individuals.
Galpo also said the city's two-week Covid-19 growth rate decreased from 44 to 41 percent and its weekly infection rate dropped from 1.60 to 1.20 percent.
She said the city remains to have a high testing rate among residents averaging 108 to 102 tests per day.
Published by HT Digital Content Services with permission from Philippines News Agency. For any query with respect to this article or any other content requirement, please contact Editor at contentservices@htlive.com",,338,AllAfrica News Wire (English)
2022-11-22,Baguio scales down Covid-19 facilities' ops,,"By Jayasri Priyalal
Weapons of Mass Destructions (WMD) were something that USA and UK coalition forces were trying to find in the armouries of Saddam Hussain in Iraq in March 2003. Anglo-Saxon media was painting the fears of death, destruction and sufferings to humankind unless those weapons were destroyed – justifying the illegal invasion of the allied forces into a sovereign Iraq, violating all international laws and order.
They found neither any evidence of WMD nor chemical weapons for justifying the invasion. Will the COVID-19 too, become an invisible WMD with the ongoing global pandemic which has locked down nearly the entire world economy?
I would like to discuss the historical backgrounds of similar pandemic outbreaks and the geopolitical impacts that may unfold in response to various schools of thoughts and conspiracy theories. As the saying goes, worries are an abuse of imagination.
Misunderstanding, fake news, propaganda to stimulate election campaigns could overnight become breeding grounds for hostilities, unless we dispel the myths, ill-conceived perceptions pro-actively to avert unintended consequences.
Plagues and pandemics have brought miseries to all living beings, including humans throughout history. The earliest in recorded history is in Europe, suspected as black death like the Bubonic Plague, that hit Europe in the 14th century AD, wiping out half of the population across the continent.
Then comes the Spanish Flu (H1N1) in 1918 across the continents with many nations embroiled in World War I. The origins of the Bubonic Plague in 1341 is suspected of having originated from the trade routes on the Silk Road spreading through fleas hosting in rats. Still, the origin of the H1N1 Flu remains a mystery, although it is known as Spanish Flu.
Why was it then known as Spanish Flu? Again, a twist between real news and propaganda. Spain was not directly involved in the WWI as such, and the newspapers were freely reporting the facts describing the misery cautioning the public to take preventive measures to mitigate the infection.
Other nations, embroiled in war, have been battling the ""disease-carrying viruses"" through the soldiers and the refugees across the countries. Yet, they concealed the details to boost the morale of the fighting soldiers. So, the news agencies attributed the origins to Spain and the Flu to get the name as Spanish Flu. Between 20 to 50 million people lost their lives due to this pandemic, including 675,000 US soldiers. H1N1 Flu spread across every other part of the planet within a matter of months.
What is quite interesting to note, is that natural disaster emerged as a pandemic at the penultimate year of the WW1. Although no armed conflicts were running as great wars of the 21st century, there was a considerable trade war between the United States and China, just ended with some agreement in January 2020. As per historical records, reports that the then U.S. President Woodrow Wilson, who was a signatory to the Versailles Treaty, which ended the WW1, too contracted with the H1N1 Flu.
If one analyzes the historical facts and the significant causes and effects that have led to many wars in the past, one can always find a dominant ideology that has triggered such human catastrophes. These ideologies are possible to grow in the minds of human beings due to their superior ability derived and acquired since the cognitive revolution.
We can also draw useful conclusions about myths. These illusions led to human catastrophes resulting from different guiding ideologies with positive and negative experiences attributing to nature and all living beings.
In this context, we need to exert all our collective efforts to find out a scientific medical solution to wipe out the vectors spreading the COVID-19 pandemic urgently. False assertions of the origins of the virus as biological weapon finger-pointing and blame games are useless self-serving ego-boosting propaganda that needs to be dispelled and defeated.
The Treaty of Versailles, signed on June 28, 1919, ending the state of war between Germany and the Allied Powers, was a failed peace treaty that paved the way for another catastrophe for the whole world, the World War II. The Economic and Trade Agreement between the USA and China signed on January 15, 2020, should not meet the fate of the Treaty of Versailles.
It is a known fact that there is a Cold War underway between China and the United States, each contesting for priority, as China has proven to be a rising power. Moreover, the accusations and blame games and emotions between the leaders and the citizens of the two nations are running significant hurling accusations with each other, even before the ink is dried off the trade agreements.
The civilised right-thinking world and the universal multilateral agencies cannot alloweithercountry to ""Weponise"" the COVID-19 as a contest of will to emerge as a geopolitical and geoeconomic powerhouse.
Six billion people living outside the USA and China need to unite and defuse the unnecessary tensions building up in world politics. The whole world needs to deploy all resources and efforts at its disposal to overcome the common challenge, to fight out the unknown virus that has taken over two hundred thousand lives across all regions disregarding the geographical boundaries or the superpower status of the nations.
""If you want to live in this world peacefully and happily, allow others also to live peacefully and happily, so that you can make this world something worthy of life,"" wrote late Dr Kirinde Sri Dhammananda Thero, in his book,'You and Your Problems', which I thought to quote as my concluding phrase.
The post Beware Of Weaponizing COVID-19 - OpEd appeared first on Eurasia Review.","EPIDEMICS (92%); COVID CORONAVIRUS (90%); COVID-19 CORONAVIRUS (90%); HISTORY (90%); INFECTIOUS DISEASE (90%); INFLUENZA (90%); PANDEMICS (90%); PUBLIC HEALTH (90%); WEAPONS & ARMS (90%); H1N1 INFLUENZA (89%); NEGATIVE NEWS (89%); WAR & CONFLICT (89%); WORLD WAR I (89%); CHEMICAL & BIOLOGICAL WEAPONS (78%); CONSPIRACY THEORY (78%); MILITARY WEAPONS (78%); NEWS REPORTING (78%); WEAPONS DECOMMISSIONING (78%); DEATH & DYING (77%); LIFE FORMS (77%); NEGATIVE PERSONAL NEWS (77%); CAMPAIGNS & ELECTIONS (73%); FAKE NEWS (73%); ACCIDENTS & DISASTERS (72%); NATURAL DISASTERS (72%); SAFETY, ACCIDENTS & DISASTERS (72%); DISEASES & DISORDERS (71%); INTERNATIONAL LAW (71%); BUSINESS NEWS (69%); REFUGEES (66%); RODENTS (66%); ECONOMY & ECONOMIC INDICATORS (55%)

Company:  TALLGRASS ENERGY CORP (58%)

Industry: NAICS211130 NATURAL GAS EXTRACTION (58%); NAICS211120 CRUDE PETROLEUM EXTRACTION (58%); SIC1321 NATURAL GAS LIQUIDS (58%); SIC1311 CRUDE PETROLEUM & NATURAL GAS (58%); H1N1 INFLUENZA (89%); CHEMICAL & BIOLOGICAL WEAPONS (78%); MILITARY WEAPONS (78%); NEWS REPORTING (78%)

Person: SADDAM HUSSEIN (58%)",956,Philippines News Agency
2020-05-12,Beware Of Weaponizing COVID-19 – OpEd,,"Counting the costs of COVID-19 far transcends head-count of fatalities. As a matter of fact, fatalities, if it will be rightly counted, should include, not only the numerical value of human lives lost; but also, losses in economic, industrial, vocational, educational aspects, among others.
The task of assessing wastes and losses brought about by the Coronavirus pandemic should at best enlist the dexterity of pundits in succinctly measuring the broken pieces and patches that can never again be mended or put together in terms of opportunity costs.
The lost grounds, in this respect, will include those heights that should have been reached, were the schools not closed down; those volumes of production and cycles of trade that could have been reached, were the productive segments not locked down; those trophies that were not lifted and medals not strewn, owing to suspension in sports festivals and tournaments; those feats and strides we lost in technology, industry, manufacturing and other tenets of invention, owing to the sudden cessation and truncation witnessed in virtually all activities that form the nerve-centre of our national life.
We ought to also consider, the helpless crippling witnessed in aspects of life regarded often as routine, sedentary of even, informal. In this regard, we list the line-up of progresses people would have made as individuals and groups or as corporate entities.
Ceremonies put on hold, weddings left unconsummated, funeral ceremonies left hanging in the balance and other social, religious, traditional functions put to a standstill because of their potentials for pulling mammoth crowds- all give the sad reality that we are not likely to emerge from this emergency properly right-sized in our mindsets to always cut our coats according to our sizes; or rather still, according to the sizes and dimensions of the available clothing materials.
Now that the chips are down, and the coast gets gradually clearer, we require to get acclimatized to better and more realistic attitudes. With the gradual reopening of our economy, we need to learn to do things anew. Remaining adamantly resolved to return to the old order implies that we hardly learnt any lessons from the pandemic experience.
The right attitude that should remain with us in the incoming post-COVID 19 era has as its central focus that we should never again be thrown off-guard.
Sanitation and personal hygiene should remain our cherished creed; while our daily ways of life should be such reordered to have wider tolerances for hand washing, physical distancing avoidance of overcrowded convergences.
On the whole, our touching behavior, body contact, crowd behavioural patterns, distancing and all of our clustering and settlement configuration need better adaptation at this period. Only in this doing would we have learnt proper lessons and internalized them, permanently, beyond the COVID-19 pandemic era.","COVID CORONAVIRUS (91%); COVID-19 CORONAVIRUS (90%); DEATH & DYING (90%); INFECTIOUS DISEASE (90%); TRENDS & EVENTS (90%); EPIDEMICS (89%); PANDEMICS (89%); CORONAVIRUSES (73%); VIRUSES (73%); VOCATIONAL & TECHNICAL TRAINING (72%); WEDDINGS & ENGAGEMENTS (65%); RELIGION (64%); Gambia (%); Coronavirus (%)

Industry: MANUFACTURING (78%); VOCATIONAL & TECHNICAL TRAINING (72%)",486,Eurasia Review
2020-10-23,Attitudinal Change After Covid-19! [opinion],,"Jan 20, 2022( iOTWreport: http://iotwreport.com/ Delivered by Newstex)  
 WASHINGTON- U.S. Sen. Ron Johnson (R-Wis.)[1] will hold a panel discussion,COVID 19: A Second Opinion.A group of world renowned doctors and medical experts will provide a different perspective on the global pandemic response, the current state of knowledge of early and hospital treatment, vaccine efficacy and safety, what went right, what went wrong, what should be done now, and what needs to be addressed long term. 

WHO:  

 Moderator 

Senator Ron Johnson (R-Wis.) 

Medical experts and doctors 

Four Pillars of Pandemic Response 

 Dr. Peter McCullough 

 Pillar 1: Limit the spread 

 Dr. Bret WeinsteinDr. Jay Bhattacharya 

 Pillar 2: Early at Home Treatment 

 Dr. Ryan ColeDr. Harvey RischDr. George FareedDr. Pierre KoryDr. Richard Urso 

 Pillar 3: Hospital Treatment 

 Dr. Paul MarikDr. Aaron Kheriaty 

 Pillar 4: Vaccines 

 Dr. Robert MaloneDr. David Wiseman 

 WHAT: Panel discussion on the global pandemic response, what went right, what went wrong, what should be done now, and what needs to be addressed long term. The panel will also discuss censorship from Big Tech and the mainstream media, pandemic response effect on children, and vaccine mandate impact on worker shortage. Keep reading[2] 
 [ 1]: https://www.ronjohnson.senate.gov/2022/1/media-advisory-sen-johnson-to-hold-panel-discussion-covid-19-a-second-opinion [ 2]: https://www.ronjohnson.senate.gov/2022/1/media-advisory-sen-johnson-to-hold-panel-discussion-covid-19-a-second-opinion 
The views expressed in any and all content distributed by Newstex and its re-distributors (collectively, the ""Newstex Authoritative Content"") are solely those of the respective author(s) and not necessarily the views of Newstex or its re-distributors. Stories from such authors are provided ""AS IS,"" with no warranties, and confer no rights. The material and information provided in Newstex Authoritative Content are for general information only and should not, in any respect, be relied on as professional advice. Newstex Authoritative Content is not ""read and approved"" before it is posted. Accordingly, neither Newstex nor its re-distributors make any claims, promises or guarantees about the accuracy, completeness, or adequacy of the information contained therein or linked to from such content, nor do they take responsibility for any aspect of such content. The Newstex Authoritative Content shall be construed as author-based content and commentary. Accordingly, no warranties or other guarantees are offered as to the quality of the opinions, commentary or anything else appearing in such Newstex Authoritative Content. Newstex and its re-distributors expressly reserve the right to delete stories at its and their sole discretion.","PANDEMICS (91%); COVID CORONAVIRUS (90%); COVID-19 CORONAVIRUS (90%); EPIDEMICS (90%); LEGISLATIVE BODIES (90%); PUBLIC HEALTH (90%); US CONGRESS (90%); US REPUBLICAN PARTY (90%); VACCINES (90%); INFECTIOUS DISEASE (89%); PRODUCT WARRANTIES (89%); WRITERS (85%); BLOGS & MESSAGE BOARDS (78%); CENSORSHIP (78%); SAFETY (77%); CHILDREN, ADOLESCENTS & TEENS (76%); HEALTH CARE REGULATION & POLICY (72%); LABOR SHORTAGES (72%); MANDATORY VACCINATIONS (71%); Uncategorized (%)

Industry: VACCINES (90%); WRITERS (85%); BLOGS & MESSAGE BOARDS (78%); HOSPITALS (77%); DRUG EFFICACY (76%); HEALTH CARE REGULATION & POLICY (72%); MANDATORY VACCINATIONS (71%); BIG TECH (66%)

Person: RON JOHNSON (89%); TIM JOHNSON (79%)",459,AllAfrica News Wire (English)
