date,title,source,length,body,subject
2022-12-30,Domestic COVID-19 drug effective in trial,China Daily,439,"By Wang Xiaoyu | chinadaily.com.cn | Updated: 2022-12-07 21:06
China further optimised its COVID-19 control policies in a 10-point notice released on Wednesday. Below are some of the key adjustments.
Q: How will China categorise high-risk areas?
A: High-risk areas should be accurately defined by building, unit, floor and household, and must not be arbitrarily expanded to entire residential complexes and neighbourhoods. Any form of temporary lockdowns are prohibited.
Q: How to roll out nucleic acid tests?
A: The scope and frequency of nucleic acid tests should be further reduced and antigen tests can be rolled out based on local circumstances. High-risk personnel should take tests as required while testing services should be offered to those in need.
Public places should no longer require proof of negative nucleic acid testing results or check digital health codes of visitors except for elderly care and social welfare centres, medical facilities, nursery care centres and primary and middle schools. Cross-regional travellers are also waived from these requirements and are no longer required to take a test upon arrival.
Q: Can infected patients isolate at home?
A: In most cases, asymptomatic and mild cases can be isolated at home when home-based protocols are met, and health monitoring should be strengthened so as to be transferred to designated hospitals for treatment promptly. They can also voluntarily opt to stay in centralised quarantine facilities.
Q: How to boost COVID-19 vaccinations amongst the elderly?
A: Local authorities are urged to create targeted plans to accelerate vaccinations among those aged 60 and above, especially elderly aged 80 and above. Suggested measures include setting up temporary or mobile vaccination stations, establishing special queues for seniors to expedite inoculations, ramping up training for medical workers so they can better identify people with contraindications, and improving awareness campaigns to motivate people to get the shots.
Q: How to ensure safety and medical demands during local outbreaks?
A: Obstructing fire exits and apartment doors for the sake of COVID-19 control is strictly forbidden, and relevant authorities must ensure that people who are locked down have access to medical treatment and emergency escape routes.
Communities should connect with designated medical institutions to make medical services more convenient for minors, pregnant women, seniors who live alone and people with disabilities or chronic diseases. Psychological consultation and mental healthcare should also be stepped up for quarantined people, COVID-19 patients and frontline workers.","VACCINES (91%); COVID CORONAVIRUS (90%); COVID-19 CORONAVIRUS (90%); COVID-19 CORONAVIRUS REGULATION & POLICY (90%); INFECTIOUS DISEASE (90%); ISOLATION & QUARANTINE (89%); SENIOR CITIZENS (89%); SAFETY (78%); SOCIETY, SOCIAL ASSISTANCE & LIFESTYLE (73%); DISEASES & DISORDERS (72%); MEDICAL TREATMENTS & PROCEDURES (72%); PSYCHOLOGY (72%); EMPLOYEE TRAINING & ASSISTANCE (69%); WOMEN'S HEALTH (69%); HEALTH CARE PROFESSIONALS (68%); CHRONIC DISEASES (66%); HEALTH CARE ACCESS (66%); DISABLED PERSONS (64%); MENTAL HEALTH (64%); MIDDLE & JUNIOR HIGH SCHOOLS (52%); PREGNANCY & CHILDBIRTH (50%)"
2022-12-07,China optimises COVID-19 policies,China Daily,748,"By ZHU LIXIN in Hefei, LIU MINGTAI in Changchun, ZHU YOUFANG in Changsha,LIU MINGTAI,ZHU YOUFANG and CHEN BOWEN in Haikou | China Daily | Updated: 2022-12-26 08:36
Higher risk
In Hainan province, where rural areas face an increasing risk of COVID-19 spreading, local governments and medical institutions are stepping up improvements to epidemic prevention and response work.
The number of people infected with COVID-19 each day in Hainan is surging.
Li Wenxiu, deputy director of the Hainan Provincial Health Commission, said at a news conference on Friday that rural areas of the province face a higher risk of a rapid growth in COVID-19 infections. This is due to the imminent arrival of 2023, Spring Festival, schools' winter vacation, and the return of urban migrant workers.
The province has established a five-level emergency response mechanism for fever clinics. As of Friday, there were 432 such clinics at medical institutions in Hainan. Each city and county in the province is required to build at least one mobile cabin hospital.
A special population diagnosis and treatment team has also been formed in Hainan. The team is responsible for ensuring prompt medical treatment for children, the elderly, expectant mothers and patients with severe diseases. The province has set up online treatment platforms for critical illness during childbirth and severe illness among children, with medical experts taking turns to man the platforms.
In rural areas, local governments are preparing to protect vulnerable populations as COVID-19 cases surge. The residential committee in Licai village, Sanya, has distributed 30 face masks per person to 87 vulnerable people, including low-income households and children with medical problems.
Local governments and medical institutions are also taking measures to ensure the supply of medication.
Li Shihua, director of Sandao Town Medical Center in Baoting Li and Miao autonomous county, said: ""We have enough antipyretic, analgesic and antiviral drugs in stock for seven to 10 days. The Baoting government is stepping up drug procurement through various channels to ensure that medicines are constantly replenished.""
Fu Yongfeng, director of Wenchang Huiwen Town Core Medical Center, said the facility prepared medicines three times based on the quantity of flu medication used from April to June.
Lin Shengwei, a doctor at the center responsible for fever diagnosis and treatment, said, ""Medication urgently needed at fever clinics is not only in stock, but is also arriving promptly, allowing us to cope with the current situation.""
In many towns and villages across Hainan, including Haikou, Sanya, Wenchang and Ding'an, residents with mobility issues can request vaccination at home.
An in-home vaccination team comprises at least three people - a village cadre or community worker, a doctor and a nurse. They have the ability to deal with adverse reactions on the spot.
Zhan Chunlian, a doctor at the core medical center in Huiwen town, Wenchang, said that after several campaigns to raise awareness of vaccination against COVID-19, only a small number of seniors in the area have still to be vaccinated.
For the elderly with diseases and concerns about vaccination, medical staff members in Huiwen use professional knowledge to help them understand vaccine safety, and also comfort patients by talking to them to help them relax, Zhan added.
Seniors with diseases who cannot clearly describe their symptoms usually bring their medical record and medication to doctors, who refer to the guidelines for vaccinating those who are 60 or older in Hainan. The guidelines explain whether those with certain diseases can be vaccinated. If there is no such explanation, doctors report the patient's medical record to the group of experts in Wenchang, and request a vaccination evaluation.
""Many seniors who were worried about being vaccinated felt fine afterward, and they thanked the doctors and asked when they could have their next shot,"" Zhan said.
Certain towns and villages in Hainan are short of medical workers due to a recent rise in demand for nucleic acid tests and medical diagnoses and treatment.
Some health workers have been infected, but they return to work as soon as they recover.
Lin said: ""Medical staff members in China are really hardworking and responsible. The COVID-19 response is our battlefield and we'll fight on the front line.""
Zhang Xiaomin and Zhou Huiying contributed to this story.
Contact the writers at zhulixin@chinadaily.com.cn","COVID CORONAVIRUS (91%); COVID-19 CORONAVIRUS (91%); DISEASES & DISORDERS (90%); INFECTIOUS DISEASE (90%); RURAL COMMUNITIES (90%); GOVERNMENT & PUBLIC ADMINISTRATION (89%); REGIONAL & LOCAL GOVERNMENTS (89%); VACCINES (89%); VULNERABLE ADULTS (89%); VULNERABLE HEALTH POPULATIONS (89%); CHILDREN, ADOLESCENTS & TEENS (88%); COMMUNICABLE DISEASE CONTROL (78%); MEDICINE & HEALTH (78%); POOR POPULATION (77%); PUBLIC HEALTH (77%); EPIDEMICS (76%); INFLUENZA (76%); MEDICAL TREATMENTS & PROCEDURES (76%); LOW INCOME PERSONS (73%); PRESS CONFERENCES (73%); HEALTH DEPARTMENTS (71%); PREGNANCY & CHILDBIRTH (71%); TRENDS & EVENTS (70%); MIGRANT WORKERS (68%); SENIOR CITIZENS (66%)"
2022-12-26,Medics battle COVID-19 in the countryside,China Daily,288,"By HU MEIDONG and ZHENG CAIXIONG in Fuzhou | chinadaily.com.cn | Updated: 2022-10-26 17:08
Closed management has now been introduced in 36 universities and colleges in Fuzhou, Fujian province, and online teaching has been launched, a senior educational official from the eastern metropolis said.
In addition, nucleic acid testing has been launched on campuses according to relevant COVID-19 prevention and control policies to help fight against the pandemic among teachers and students, said You Xin, director of the Fuzhou education bureau, at a news conference on Wednesday.
Under the city's COVID-19 prevention and control measures, university and college staff and students living on campus are not allowed to leave, while those who are now living outside their universities and colleges have been banned from entering the campuses in principle, You said.
Classes for students at local high schools, primary schools and kindergartens were suspended in the city's nine districts and suburban counties between Tuesday and Sunday.
All schools and training institutions have been ordered to carry out online teaching to help prevent and control the spread of COVID-19 in Fuzhou.
""Only those with a green health code are allowed to attend the teacher qualification examination that will take place in the city on Saturday,"" You said.
Fuzhou reported 58 locally transmitted asymptomatic carriers on Tuesday, pushing the city's total number of local COVID-19 infections to 128 as of Tuesday.
Authorities said all infected people have been sent to designated hospitals for further medical observation and treatment.
Meanwhile, a makeshift hospital was built in the city's Olympic sports center, which is ready to open, local authorities said.",COVID CORONAVIRUS (92%); COVID-19 CORONAVIRUS (92%); COLLEGES & UNIVERSITIES (90%); EDUCATION SYSTEMS & INSTITUTIONS (90%); EDUCATIONAL INSTITUTION EMPLOYEES (90%); INFECTIOUS DISEASE (90%); PRIMARY & SECONDARY EDUCATION (90%); PRIMARY SCHOOLS (90%); STUDENTS & STUDENT LIFE (90%); COMMUNICABLE DISEASE CONTROL (78%); PRIMARY & SECONDARY SCHOOL TEACHERS (77%); PUBLIC HEALTH (77%); TEACHING & TEACHERS (77%); PRESS CONFERENCES (73%); HIGH SCHOOLS (72%); STUDENT HOUSING (72%); COUNTIES (68%); SPORTS & RECREATION FACILITIES & VENUES (63%); SUBURBS (53%)
2022-10-26,Fuzhou intensifies its COVID-19 fight,China Daily,524,"By ANGUS McNEICE in London | China Daily Global | Updated: 2022-11-24 09:22
Domestic cats may be providing a reservoir for the novel coronavirus, according to a new study that suggests close to 350,000 cats in the United Kingdom have been infected with COVID-19 so far during the pandemic.
Researchers at the University of Glasgow analyzed swabs taken from 2,309 cats that had routine checkups at veterinarians in the UK between April 2020 and February this year.
The study, which was published in the preprint server bioRxiv and that has not been peer-reviewed, found that 3.2 percent of the animals tested positive for COVID-19 antibodies.
There are an estimated 10.9 million pet cats in the UK, according to a report from the People's Dispensary for Sick Animals, and if the rate of infection from the study is consistent across the population, around 348,000 cats may have contracted the virus.
Glasgow researchers said that the findings justify further research into the impact of COVID-19 on feline health. There have also been documented cases of cats transmitting COVID-19 to humans, suggesting that the animals could provide a reservoir for the virus and its variants.
""Recent evidence confirming cat-to-human COVID-19 transmission has highlighted the importance of monitoring infection in domestic cats,"" said the authors of the study, led by Grace Tyson, a virologist at the University of Glasgow Centre for Virus Research.
""Although the effects of COVID-19 infection on feline health are poorly characterized, cats have close contact with humans, and with both domesticated and wild animals. Accordingly, they could act as a reservoir of infection, an intermediate host, and a source of novel variants.""
COVID-19 is thought to be a zoonotic disease, meaning it arose in non-human species before taking hold in the human population. The lack of coordinated international response at the start of the pandemic prompted numerous scientists to call for increased surveillance of pathogens in wild and domestic species that have the potential to infect humans.
Researchers argue that future outbreaks can be contained far more efficiently if they are discovered soon after the so-called zoonotic jump, the period in time when the disease makes the leap from animal to human.
""We need a whole army coming out ready to deal with the question of how the natural world and humanity can fit together in a way that does not have to involve infectious disease emergencies,"" said David Quammen, a science writer who has written several books on zoonotic viruses including Spillover, but who was not involved in the research. ""Disease surveillance is crucial. And that means having eyes and ears on the ground.""
Several animal species are known to be susceptible to the novel coronavirus, including dogs, cats, ferrets, hamsters, rhesus monkeys, rabbits, and fruit bats.
A research team, also from the Glasgow Centre for Virus Research, confirmed cases of human-to-cat COVID-19 transmission in 2020. The first recorded event of cat-to-human infection occurred in a veterinary clinic in Thailand this summer, though this form of transmission is thought to be rare.",CATS (95%); COVID CORONAVIRUS (94%); COVID-19 CORONAVIRUS (94%); RESEARCH REPORTS (93%); ANIMALS (90%); CORONAVIRUSES (90%); INFECTIOUS DISEASE (90%); PUBLIC HEALTH (90%); VIRUSES (90%); DISEASE REPORTING (89%); DISEASES & DISORDERS (89%); EPIDEMICS (89%); EPIDEMIOLOGY (89%); NOVELS & SHORT STORIES (89%); PANDEMICS (89%); SCIENCE & TECHNOLOGY (89%); VIROLOGY (89%); WRITERS (89%); ZOONOTIC DISEASES (89%); LIFE FORMS (88%); SURVEILLANCE (86%); ANIMAL WELFARE (78%); COMMUNICABLE DISEASE CONTROL (78%); MAMMALS (78%); PETS (78%); PUBLIC HEALTH SURVEILLANCE (78%); RESEARCH INSTITUTES (78%); WILDLIFE (78%); ZOOLOGY (78%); PUBLIC HEALTH ADMINISTRATION (77%); POPULATION & DEMOGRAPHICS (76%); PRIMATES (76%); RODENTS (76%); DOGS (73%); MICROBIOLOGY (73%); COLLEGES & UNIVERSITIES (71%)
2022-11-24,"Cats provide reservoir for COVID-19, study finds",China Daily,203,"By Deng Rui and Tan Yingzi in Chongqing | chinadaily.com.cn | Updated: 2022-11-16 15:26
Residents in Chongqing are being asked not leave the city unless travel is urgent as it works to curb the spread of COVID-19 infections to other places, the city's prevention and control headquarters said on Tuesday.
Chongqing reported 126 new local confirmed COVID-19 cases and 2,688 new asymptomatic carriers on Tuesday, the local health commission said on Wednesday.
Local officials reiterated that Chongqing, a mega city of 32 million people, is facing ""unprecedented difficulty"" in curbing the virus since the outbreak began on Nov 1.
According to the notice released on Tuesday, residents living in quarantine and closed-loop management, areas with a high risk of infection or communities with people testing positive within seven days should not leave Chongqing.
For people who must leave the city, negative nucleic test results and some other documents are required.
In response to increases in infections, Chongqing has transformed a city exhibition center into makeshift hospital. On Tuesday, part of a makeshift hospital in the city's Yuelai International Exhibition Center was opened for use. It is designed with 12,000 beds.",COVID CORONAVIRUS (91%); COMMUNICABLE DISEASE CONTROL (90%); COVID-19 CORONAVIRUS (90%); INFECTIOUS DISEASE (90%); ISOLATION & QUARANTINE (78%); HEALTH DEPARTMENTS (77%); PUBLIC OFFICIALS (72%)
2022-11-16,Chongqing scrambles to contain COVID-19,China Daily,335,"China Daily | Updated: 2022-08-16 07:45
The National Healthcare Security Administration has announced that all the medicines listed in the COVID-19 treatment plan can be paid for through the healthcare security fund.
On Aug 9, the National Health Commission said that Azvudine, a Chinese drug approved for treating COVID-19, was included in the COVID-19 treatment plan. This way, patients can get part of the cost paid for by the healthcare security fund.
Society has long been expecting COVID-19 drugs to enter the market. China has long developed vaccines aimed at preventing the virus from infecting more people. The emerging drugs will further consolidate China's victory over the virus.
Azvudine, as the first domestically developed COVID-19 drug, has several advantages over foreign ones. It costs less than 300 yuan ($44.35) per bottle, which is largely affordable; it is an oral drug rather than injection, which makes it convenient to popularize it.
Besides, since Azvudine has long been used to fight AIDS and has recently been developed to fight COVID-19, its side-effects are known.
However, some believe that more clinical data is needed to prove its effectiveness. After all, Azvudine has not been tested yet for its effectiveness against COVID-19. That's possibly why the medicine has been ""temporarily"" included in the healthcare fund, creating room for a long-term decision to be taken after observation. In that way, the taxpayers' burden will not be that heavy.
More than two years into the COVID-19 pandemic, people are looking for an effective, cheap drug to counter it.
With the first domestically developed COVID-19 drug entering the market and getting included in the healthcare fund, there is more light at the end of the tunnel. Of course, one single drug is far from enough in fighting the pandemic, yet it highlights the spirit of doing scientific research for fighting the pandemic.
We look forward to more such drugs being developed to better serve the people in the fight against the pandemic.",COVID CORONAVIRUS (94%); COVID-19 CORONAVIRUS (93%); HEALTH CARE POLICY (90%); HEALTH CARE RATIONING (90%); INFECTIOUS DISEASE (90%); NATIONAL HEALTH INSURANCE (90%); PUBLIC HEALTH (90%); EPIDEMICS (89%); PANDEMICS (89%); DRUG DESIGN & DISCOVERY (78%); VACCINES (78%); AIDS & HIV (73%); HEALTH DEPARTMENTS (73%); EXPERIMENTATION & RESEARCH (65%)
2022-08-16,Domestic COVID-19 drug raises hopes,China Daily,228,"By DU JUAN | chinadaily.com.cn | Updated: 2022-12-07 21:17
Beijing announced the relaxation of several COVID-19 pandemic control measures on Wednesday night during a news conference, with rules relating to cross-city travel, medical services, and school all eased.
People are no longer required to provide negative results from nucleic acid tests or health codes in order to enter the capital, said Zhong Dongbo, deputy head of the city's health commission.
""They won't be asked to take three tests daily after their arrival in the city, either,"" he added.
However, the city will continue to provide nucleic acid tests for free, with a better layout of testing site locations.
Quarantine measures have also been relaxed, with infected people with no symptoms or mild symptoms now able to self-quarantine at home.
The city will also work to ensure there are adequate medical services, in the event of an increase in COVID-19 infections, Zhong said.
Qualified hospitals can now set up fever clinics, if they are able to do so.
Zhong also reminded people that there is no need to store up medicine. All drug stores, both online and offline, will ensure there is enough medicine to meet demand.
Schools without COVID-19 outbreaks should restart or continue on-campus courses. And all supermarkets, restaurants, sports stadiums, and libraries should also open to students, Zhong said.",COVID CORONAVIRUS (92%); COVID-19 CORONAVIRUS (92%); COMMUNICABLE DISEASE CONTROL (90%); COVID-19 CORONAVIRUS REGULATION & POLICY (90%); EPIDEMICS (90%); INFECTIOUS DISEASE (90%); ISOLATION & QUARANTINE (90%); PANDEMICS (90%); PRESS CONFERENCES (90%); PUBLIC HEALTH (90%); OUTPUT & DEMAND (77%); HEALTH DEPARTMENTS (72%); TRAVELERS HEALTH (72%); STADIUMS & ARENAS (65%)
2022-12-07,China's capital significantly eases COVID-19 measures,China Daily,501,"By ZHENG CAIXIONG in Guangzhou | China Daily | Updated: 2022-11-07 09:12
The were 1,325 cases of COVID-19 detected in Guangzhou, capital of Guangdong province, on Saturday, including nine at the community level, a senior health official said on Sunday.
Zhang Yi, deputy director of the Guangzhou health commission, urged residents to actively cooperate with relevant departments and strictly abide by the city's epidemic prevention and control policies, while more concrete and effective measures are being introduced to help block the spread of the novel coronavirus.
The city is experiencing the most complex and severe COVID-19 prevention and control situation in three years, the official added.
The city, with a population of about 18 million, reported 746 infection cases on Friday, indicating hidden transmission chains still exist.
Zhang made her remarks at a news conference on Sunday, saying CCTV footage showed some residents in Haizhu district have violated the city's COVID-19 prevention and control policies and regulations.
The district, which has become the main battlefield in the fight against COVID-19 in Guangzhou, has been locked down to prevent and control the virus spread.
Except for those who have to go out to seek medical help or be tested for the virus, residents in Haizhu are required to stay at home for three days beginning Saturday. Only one person from each household is allowed to go out for shopping each day.
Of the city's new infections reported Saturday, 1,253 were detected in Haizhu.
Zhang Zhoubin, Party secretary of the Guangzhou Center for Disease Control and Prevention, said the number of newly infected cases detected in the district daily has reached a new high in this round of the outbreak.
He urged residents to maintain risk awareness and avoid any risky behavior in order to contribute to the city's COVID-19 prevention and control efforts.
According to Zhang Yi, more than 31,000 residents in Haizhu, where exhibition halls of the China Import and Export Fair are located, have been evacuated to other cities to help block the infection chain and lower the risk of spread in communities.
A makeshift hospital with 3,000 beds was put into operation on Saturday to help care for the growing number of infected residents.
In Beijing, the Chinese capital reported more COVID-19 infections at the community level, with the number of high- and medium-risk areas growing in the city this week.
According to data released on Sunday morning, Beijing recorded 43 confirmed locally transmitted COVID-19 cases and six asymptomatic cases on Saturday, among whom five were detected at the community level.
Beijing has reported several infection clusters involving dozens of cases in colleges and families in recent days, according to the Beijing Center for Disease Prevention and Control.
The center reminded the public that people who are self-quarantined at home should reduce contact with other household members in order to cut infection risks.
Du Juan contributed to this story.",COVID CORONAVIRUS (94%); COVID-19 CORONAVIRUS (94%); COMMUNICABLE DISEASE CONTROL (90%); INFECTIOUS DISEASE (90%); PUBLIC HEALTH (90%); PUBLIC HEALTH ADMINISTRATION (90%); DISEASES & DISORDERS (89%); EPIDEMIOLOGY (89%); PRESS CONFERENCES (89%); PREVENTION & WELLNESS (89%); CORONAVIRUSES (78%); ISOLATION & QUARANTINE (78%); EPIDEMICS (77%); FAMILY (77%); HEALTH DEPARTMENTS (77%); VIRUSES (76%)
2022-11-07,COVID-19 cases continue to rise in Guangzhou,China Daily,357,"China Daily | Updated: 2022-09-19 08:07
The first monkeypox case in the Chinese mainland, an imported one, was reported in Chongqing on Friday. All the close contacts were timely quarantined, and no more cases have been reported since.
The case in Chongqing was detected during the COVID-19 quarantine measures for arrivals. The COVID-19 prevention and control measures have played an important role in preventing the monkeypox virus from being imported and spreading.
The incubation period of the monkeypox virus ranges from five to 21 days－it is from six to 13 days for most cases. The 10-day quarantine measures for COVID-19 prevention and control are therefore expected to enable most monkeypox cases arriving from abroad to be identified.
Take the transmission of the human immunodeficiency virus as an example, which was spread from Western countries to the Western Pacific region, it generally followed the route of from Europe and the United States to Australia, then to Singapore, Japan, Thailand, etc, then to the Hong Kong Special Administrative Region and the Taiwan island and then to the Chinese mainland.
Considering that Australia, Singapore and New Zealand are the only three countries in the Western Pacific that have more than five monkeypox cases, China can continue to rely on its COVID-19 prevention and control measures to screen monkeypox cases.
The transmission mode of monkeypox is complex, including contact with infected animal lesions, blood, etc, or infected animal bites or scratches. In this wave of monkeypox infections close contact between people is the most important mode of transmission, including contact with articles contaminated by patient secretions.
As the country implements strict COVID-19 prevention and control measures, there is no need for panic over the monkeypox virus, and the public only need to heed the warnings of the epidemic prevention and control departments and be familiar with the transmission model of the monkeypox virus. People should follow the COVID-19 protocols, as most of the measures targeting the monkeypox virus are similar to those required for COVID-19 prevention and control.",
2022-09-19,COVID-19 measures can also screen monkeypox,China Daily,293,"chinadaily.com.cn | Updated: 2022-11-28 16:55
Anthony Fauci, the White House's top medical adviser, said on Sunday the COVID-19 pandemic is not completely over, The Hill reported.
""So it's much, much better than it was, but it is not at a level low enough where we should feel we're done with it completely, because we're not,"" Fauci said during an appearance on CBS's ""Face the Nation"".
The White House on Nov 22 launched a ""six-week sprint"" to get more Americans their updated shots as officials struggle to increase uptake.
About 12 percent of the eligible population ages 5 and up in the US have received a dose of the booster shots that target recent variants, according to the CDC.
On the low uptake, Fauci said ""It's a combination of an expansion and an amplification of the anti-science, anti-vax.""
""There is something I've never seen in my 54 years in medicine at the [National Institutes of Health], is that the acceptance or not of a life-saving intervention is steered very heavily by your political ideology,"" he added.
Fauci announced in August he planned to step down next month from his roles in government as US President Joe Biden's chief medical adviser, as well as director of the National Institute of Allergies and Infectious Diseases since 1984.
As advice before he leaves office, he said repeatedly the pandemic is not over in the US, and vaccination is still very important.
""Please for your own safety and for that of your family, get your updated COVID-19 shot as soon as you're eligible,"" Fauci said on Nov 22 during a daily press briefing at the White House.
The United States has reported nearly 98.57 million COVID-19 cases and more than 1.08 million deaths, according to data from Johns Hopkins University released at 0500 GMT on Nov 28.",COVID-19 CORONAVIRUS (91%); COVID CORONAVIRUS (90%); INFECTIOUS DISEASE (90%); PANDEMICS (90%); PUBLIC HEALTH (90%); VACCINES (90%); EPIDEMICS (89%); ANTI-VACCINE MOVEMENT (78%); HEALTH DEPARTMENTS (78%); POLITICAL & SOCIAL IDEOLOGIES (78%); PRESS CONFERENCES (78%); SAFETY (78%); VACCINATION & IMMUNIZATION (78%); POPULATION SIZE (74%); DISEASES & DISORDERS (73%); US PRESIDENTIAL CANDIDATES 2016 (73%); US PRESIDENTIAL CANDIDATES 2020 (73%); US PRESIDENTS (73%); RESIGNATIONS (70%)
